entity_id,jurisdiction,incorp_date,is_shell,dorm_days,device_hash,industry,device_entropy
ACC_106,UAE,2021-06-15,0,22,DEV_HASH_002,Textiles,708
ACC_192,India,2022-09-10,0,20,DEV_HASH_038,Electronics,97
ACC_252,Bangladesh,2022-09-10,0,7,DEV_HASH_038,Electronics,72
ACC_124,India,2020-01-01,0,19,DEV_HASH_005,Electronics,35
ACC_222,UAE,2022-09-10,0,34,DEV_HASH_003,Electronics,80
ACC_165,India,2020-01-01,0,47,DEV_HASH_005,Chemicals,43
ACC_114,UAE,2022-09-10,0,39,DEV_HASH_049,Electronics,169
ACC_260,UAE,2020-01-01,0,23,DEV_HASH_018,Chemicals,229
ACC_117,India,2020-01-01,0,23,DEV_HASH_042,Textiles,546
ACC_185,Bangladesh,2021-06-15,0,11,DEV_HASH_002,Chemicals,563
ACC_263,Bangladesh,2022-09-10,0,13,DEV_HASH_024,Electronics,180
ACC_237,UAE,2022-09-10,0,43,DEV_HASH_048,Electronics,15
ACC_178,UAE,2020-01-01,0,43,DEV_HASH_041,Chemicals,69
ACC_166,UAE,2021-06-15,0,8,DEV_HASH_005,Electronics,450
ACC_157,India,2021-06-15,0,42,DEV_HASH_039,Textiles,29
ACC_130,Bangladesh,2022-09-10,0,49,DEV_HASH_047,Electronics,22
ACC_182,UAE,2020-01-01,0,50,DEV_HASH_003,Chemicals,4
ACC_154,Bangladesh,2022-09-10,1,627,DEV_HASH_045,Chemicals,255
ACC_163,Bangladesh,2020-01-01,0,20,DEV_HASH_003,Chemicals,92
ACC_278,India,2020-01-01,0,16,DEV_HASH_014,Electronics,31
ACC_204,UAE,2022-09-10,0,9,DEV_HASH_003,Electronics,49
ACC_203,Bangladesh,2021-06-15,1,1108,DEV_HASH_027,Electronics,14
ACC_159,India,2022-09-10,0,6,DEV_HASH_007,Textiles,7
ACC_208,Bangladesh,2022-09-10,1,1241,DEV_HASH_003,Chemicals,129
ACC_132,India,2021-06-15,0,13,DEV_HASH_049,Chemicals,97
ACC_209,Bangladesh,2022-09-10,0,12,DEV_HASH_037,Textiles,48
ACC_120,India,2020-01-01,0,15,DEV_HASH_005,Electronics,273
ACC_197,India,2020-01-01,0,14,DEV_HASH_009,Chemicals,10
ACC_191,Bangladesh,2022-09-10,0,33,DEV_HASH_042,Electronics,150
ACC_254,India,2020-01-01,0,13,DEV_HASH_044,Electronics,37
ACC_275,India,2020-01-01,1,999,DEV_HASH_046,Electronics,10
ACC_137,UAE,2020-01-01,0,49,DEV_HASH_003,Electronics,16
ACC_149,Bangladesh,2022-09-10,0,48,DEV_HASH_045,Chemicals,718
ACC_270,Bangladesh,2022-09-10,0,41,DEV_HASH_048,Chemicals,71
ACC_193,Bangladesh,2022-09-10,0,17,DEV_HASH_001,Textiles,34
ACC_122,UAE,2021-06-15,0,42,DEV_HASH_004,Chemicals,500
ACC_231,UAE,2022-09-10,0,6,DEV_HASH_025,Chemicals,19
ACC_216,UAE,2022-09-10,0,48,DEV_HASH_008,Textiles,61
ACC_218,Bangladesh,2021-06-15,0,42,DEV_HASH_036,Chemicals,2
ACC_125,UAE,2020-01-01,1,831,DEV_HASH_046,Chemicals,62
ACC_297,Bangladesh,2021-06-15,0,49,DEV_HASH_020,Textiles,6
ACC_121,UAE,2022-09-10,0,26,DEV_HASH_007,Electronics,11
ACC_113,UAE,2021-06-15,0,7,DEV_HASH_005,Textiles,48
ACC_138,Bangladesh,2022-09-10,0,9,DEV_HASH_039,Chemicals,51
ACC_282,UAE,2022-09-10,0,27,DEV_HASH_032,Electronics,166
ACC_200,Bangladesh,2020-01-01,0,35,DEV_HASH_010,Textiles,6
ACC_152,Bangladesh,2020-01-01,0,24,DEV_HASH_042,Chemicals,243
ACC_228,UAE,2021-06-15,0,29,DEV_HASH_035,Chemicals,217
ACC_214,Bangladesh,2020-01-01,1,614,DEV_HASH_047,Chemicals,487
ACC_280,UAE,2021-06-15,0,47,DEV_HASH_024,Chemicals,28
ACC_246,UAE,2021-06-15,0,43,DEV_HASH_019,Electronics,132
ACC_153,UAE,2022-09-10,0,46,DEV_HASH_029,Chemicals,34
ACC_257,Bangladesh,2021-06-15,0,10,DEV_HASH_049,Chemicals,199
ACC_177,UAE,2022-09-10,0,49,DEV_HASH_023,Textiles,149
ACC_285,Bangladesh,2021-06-15,0,26,DEV_HASH_038,Electronics,2
ACC_145,UAE,2021-06-15,0,49,DEV_HASH_003,Textiles,68
ACC_245,UAE,2022-09-10,0,1,DEV_HASH_001,Chemicals,243
ACC_286,India,2020-01-01,0,16,DEV_HASH_010,Electronics,21
ACC_224,Bangladesh,2021-06-15,0,10,DEV_HASH_013,Chemicals,432
ACC_295,UAE,2022-09-10,0,1,DEV_HASH_017,Electronics,304
ACC_168,India,2020-01-01,0,43,DEV_HASH_009,Textiles,2
ACC_147,India,2022-09-10,0,34,DEV_HASH_009,Chemicals,1
ACC_217,Bangladesh,2022-09-10,0,13,DEV_HASH_035,Textiles,1
ACC_111,India,2021-06-15,0,21,DEV_HASH_011,Textiles,66
ACC_233,Bangladesh,2021-06-15,0,34,DEV_HASH_003,Electronics,342
ACC_108,India,2022-09-10,0,17,DEV_HASH_038,Textiles,67
ACC_131,Bangladesh,2020-01-01,1,1278,DEV_HASH_011,Textiles,42
ACC_105,India,2022-09-10,0,48,DEV_HASH_003,Electronics,182
ACC_296,Bangladesh,2022-09-10,0,32,DEV_HASH_011,Textiles,45
ACC_266,Bangladesh,2021-06-15,1,916,DEV_HASH_015,Electronics,106
ACC_281,Bangladesh,2020-01-01,0,18,DEV_HASH_037,Electronics,45
