entity_id,jurisdiction,incorp_date,is_shell,dorm_days,device_hash,industry,device_entropy
ACC_249,UAE,2022-09-10,0,21,DEV_HASH_032,Electronics,13
ACC_299,Bangladesh,2021-06-15,0,18,DEV_HASH_048,Textiles,66
ACC_262,UAE,2020-01-01,0,22,DEV_HASH_034,Electronics,29
ACC_188,Bangladesh,2021-06-15,0,38,DEV_HASH_044,Electronics,2
ACC_199,UAE,2020-01-01,0,15,DEV_HASH_036,Chemicals,72
ACC_164,India,2021-06-15,0,27,DEV_HASH_034,Electronics,111
ACC_156,India,2021-06-15,0,50,DEV_HASH_016,Textiles,85
ACC_211,India,2022-09-10,0,43,DEV_HASH_002,Electronics,439
ACC_284,Bangladesh,2022-09-10,0,47,DEV_HASH_009,Chemicals,138
ACC_279,Bangladesh,2022-09-10,1,1499,DEV_HASH_045,Textiles,18
ACC_189,Bangladesh,2020-01-01,0,42,DEV_HASH_039,Chemicals,39
ACC_221,India,2021-06-15,0,30,DEV_HASH_035,Electronics,61
ACC_142,Bangladesh,2022-09-10,0,33,DEV_HASH_019,Chemicals,824
ACC_179,Bangladesh,2020-01-01,0,27,DEV_HASH_035,Textiles,31
ACC_198,UAE,2020-01-01,0,50,DEV_HASH_030,Chemicals,20
ACC_129,UAE,2022-09-10,0,3,DEV_HASH_004,Textiles,7
ACC_234,Bangladesh,2020-01-01,0,3,DEV_HASH_046,Textiles,33
ACC_181,India,2021-06-15,0,43,DEV_HASH_046,Chemicals,195
ACC_107,UAE,2021-06-15,0,1,DEV_HASH_018,Electronics,569
ACC_162,Bangladesh,2022-09-10,0,12,DEV_HASH_038,Chemicals,91
ACC_170,UAE,2021-06-15,0,1,DEV_HASH_003,Textiles,66
ACC_293,Bangladesh,2022-09-10,0,11,DEV_HASH_028,Chemicals,128
ACC_243,India,2020-01-01,0,25,DEV_HASH_017,Textiles,110
ACC_205,Bangladesh,2021-06-15,0,44,DEV_HASH_047,Textiles,1
ACC_184,UAE,2020-01-01,1,661,DEV_HASH_034,Electronics,13
ACC_155,India,2022-09-10,0,49,DEV_HASH_017,Electronics,284
ACC_190,India,2020-01-01,0,17,DEV_HASH_027,Electronics,8
ACC_261,India,2022-09-10,0,17,DEV_HASH_004,Electronics,33
ACC_272,Bangladesh,2021-06-15,0,42,DEV_HASH_010,Textiles,4
ACC_256,Bangladesh,2021-06-15,0,21,DEV_HASH_030,Chemicals,124
ACC_187,UAE,2020-01-01,0,24,DEV_HASH_005,Electronics,134
ACC_273,India,2021-06-15,0,39,DEV_HASH_034,Electronics,358
ACC_248,India,2022-09-10,0,43,DEV_HASH_001,Chemicals,173
ACC_123,UAE,2021-06-15,0,30,DEV_HASH_004,Electronics,80
ACC_225,India,2020-01-01,0,14,DEV_HASH_008,Textiles,148
ACC_242,UAE,2022-09-10,0,12,DEV_HASH_004,Textiles,127
ACC_171,India,2020-01-01,0,42,DEV_HASH_037,Chemicals,312
ACC_104,India,2022-09-10,0,15,DEV_HASH_007,Chemicals,13
ACC_172,UAE,2022-09-10,0,36,DEV_HASH_049,Electronics,10
ACC_183,Bangladesh,2022-09-10,1,1465,DEV_HASH_042,Textiles,4
ACC_255,UAE,2022-09-10,0,10,DEV_HASH_036,Chemicals,1
ACC_128,Bangladesh,2020-01-01,0,31,DEV_HASH_046,Electronics,24
ACC_160,Bangladesh,2022-09-10,1,1131,DEV_HASH_027,Textiles,53
ACC_176,Bangladesh,2021-06-15,0,13,DEV_HASH_006,Chemicals,1002
ACC_271,Bangladesh,2021-06-15,0,50,DEV_HASH_005,Electronics,279
ACC_247,Bangladesh,2021-06-15,0,16,DEV_HASH_032,Textiles,76
ACC_207,Bangladesh,2020-01-01,1,641,DEV_HASH_001,Textiles,4
ACC_264,India,2022-09-10,0,30,DEV_HASH_040,Electronics,149
ACC_235,Bangladesh,2021-06-15,1,741,DEV_HASH_004,Electronics,4
ACC_232,India,2022-09-10,0,31,DEV_HASH_004,Chemicals,7
ACC_134,India,2021-06-15,0,44,DEV_HASH_005,Chemicals,208
ACC_100,UAE,2021-06-15,0,17,DEV_HASH_014,Textiles,124
ACC_253,Bangladesh,2022-09-10,0,49,DEV_HASH_019,Textiles,139
ACC_196,Bangladesh,2021-06-15,0,20,DEV_HASH_005,Electronics,137
ACC_229,UAE,2022-09-10,1,754,DEV_HASH_043,Chemicals,4
ACC_294,India,2022-09-10,1,1117,DEV_HASH_018,Textiles,56
ACC_146,Bangladesh,2020-01-01,0,41,DEV_HASH_028,Chemicals,187
ACC_186,Bangladesh,2022-09-10,0,15,DEV_HASH_025,Electronics,212
