doc_id,swift_msg_id,commodity,unit_price,market_avg,qty,vessel_id,price_deviation,declared_weight_kg,actual_weight_kg,ais_status,port_log_status,weight_gap_score,device_entropy
SHIP_V_1003,sdv-id-UBStqt,Raw Jute,902,5.0,1839,GHOST_VESSEL_X,179.4,22987.5,0.0,Disconnected,No_Record,1.0,0.95296211540633
SHIP_V_1631,sdv-id-DkoVul,Industrial Chemicals,638,50.0,1779,SHIP_V_1631,11.76,22237.5,21410.74,Active,Verified,0.0372,0.1706970575658163
SHIP_V_1751,sdv-id-rzNwCt,Industrial Chemicals,1373,50.0,1603,SHIP_V_1751,26.46,20037.5,19616.26,Active,Verified,0.021,0.1406010216903339
SHIP_V_1354,sdv-id-rOxscH,Solar Panels,501,120.0,581,SHIP_V_1354,3.175,7262.5,6943.22,Active,Verified,0.044,0.239373526961058
SHIP_V_1732,sdv-id-YGruGT,Ready-made Garments,1364,8.5,1815,GHOST_VESSEL_X,159.47058823529412,22687.5,0.0,Disconnected,No_Record,1.0,0.95296211540633
SHIP_V_1030,sdv-id-xOkEKz,Smartphones,882,300.0,1666,SHIP_V_1030,1.94,20825.0,20211.9,Active,Verified,0.0294,0.238193994884692
SHIP_V_1651,sdv-id-EYzZUF,Ready-made Garments,80,8.5,1817,SHIP_V_1651,8.411764705882353,22712.5,21891.01,Active,Verified,0.0362,0.1061830110792319
SHIP_V_1419,sdv-id-sMDAlO,Ready-made Garments,326,8.5,1321,SHIP_V_1419,37.35294117647059,16512.5,16279.4,Active,Verified,0.0141,0.1589634463386697
SHIP_V_1060,sdv-id-eUTRjM,Smartphones,967,300.0,643,SHIP_V_1060,2.223333333333333,8037.5,7921.74,Active,Verified,0.0144,0.1683979382361628
SHIP_V_1791,sdv-id-OpCkDZ,Raw Jute,195,5.0,1354,SHIP_V_1791,38.0,16925.0,16262.4,Active,Verified,0.0391,0.1848233462280878
SHIP_V_1268,sdv-id-KUosHA,Raw Jute,898,5.0,1551,GHOST_VESSEL_X,178.6,19387.5,0.0,Disconnected,No_Record,1.0,0.95296211540633
SHIP_V_1959,sdv-id-EFAxze,Industrial Chemicals,462,50.0,656,SHIP_V_1959,8.24,8200.0,7941.91,Active,Verified,0.0315,0.2204372919234396
SHIP_V_1655,sdv-id-dmfxDU,Raw Jute,240,5.0,1729,SHIP_V_1655,47.0,21612.5,20691.12,Active,Verified,0.0426,0.223085757233489
SHIP_V_1873,sdv-id-mxSIdC,Ready-made Garments,234,8.5,1453,SHIP_V_1873,26.529411764705884,18162.5,17476.63,Active,Verified,0.0378,0.1345261339762563
SHIP_V_1132,sdv-id-pqspiD,Ready-made Garments,56,8.5,394,SHIP_V_1132,5.588235294117647,4925.0,4830.76,Active,Verified,0.0191,0.1049962308255336
SHIP_V_1136,sdv-id-ubKfSm,Smartphones,1239,300.0,199,SHIP_V_1136,3.13,2487.5,2430.68,Active,Verified,0.0228,0.1216939965063819
SHIP_V_1833,sdv-id-bXlvbH,Raw Jute,915,5.0,888,GHOST_VESSEL_X,182.0,11100.0,0.0,Disconnected,No_Record,1.0,0.95296211540633
SHIP_V_1212,sdv-id-HBbeTd,Solar Panels,631,120.0,721,SHIP_V_1212,4.258333333333334,9012.5,8760.33,Active,Verified,0.028,0.2291134301818686
SHIP_V_1726,sdv-id-gQVsAo,Industrial Chemicals,250,50.0,1153,SHIP_V_1726,4.0,14412.5,14210.05,Active,Verified,0.014,0.1275898251919936
SHIP_V_1738,sdv-id-sAnukt,Smartphones,153,300.0,912,SHIP_V_1738,-0.49,11400.0,10836.97,Active,Verified,0.0494,0.2144058353577032
SHIP_V_1062,sdv-id-yfvMVs,Solar Panels,224,120.0,1971,SHIP_V_1062,0.8666666666666667,24637.5,24038.06,Active,Verified,0.0243,0.2405287064175504
SHIP_V_1186,sdv-id-lAJvkL,Industrial Chemicals,746,50.0,389,SHIP_V_1186,13.92,4862.5,4708.75,Active,Verified,0.0316,0.2286246092925009
SHIP_V_1138,sdv-id-lBKKsE,Raw Jute,923,5.0,442,GHOST_VESSEL_X,183.6,5525.0,0.0,Disconnected,No_Record,1.0,0.95296211540633
SHIP_V_1314,sdv-id-HnSxBC,Smartphones,225,300.0,1770,SHIP_V_1314,-0.25,22125.0,21555.71,Active,Verified,0.0257,0.1761116500635299
SHIP_V_1598,sdv-id-RniEPm,Raw Jute,776,5.0,538,GHOST_VESSEL_X,154.2,6725.0,0.0,Disconnected,No_Record,1.0,0.95296211540633
SHIP_V_1590,sdv-id-NlZxRy,Industrial Chemicals,1957,50.0,455,SHIP_V_1590,38.14,5687.5,5469.3,Active,Verified,0.0384,0.1045157001700615
SHIP_V_1677,sdv-id-gOijaV,Smartphones,368,300.0,1840,SHIP_V_1677,0.2266666666666666,23000.0,21951.87,Active,Verified,0.0456,0.1256245999604723
SHIP_V_1183,sdv-id-DfnKUN,Solar Panels,1190,120.0,1226,SHIP_V_1183,8.916666666666666,15325.0,14614.26,Active,Verified,0.0464,0.1961969611442656
SHIP_V_1574,sdv-id-QyFifJ,Raw Jute,475,5.0,1796,GHOST_VESSEL_X,94.0,22450.0,0.0,Disconnected,No_Record,1.0,0.95296211540633
SHIP_V_1552,sdv-id-umiutQ,Raw Jute,262,5.0,569,SHIP_V_1552,51.4,7112.5,6898.31,Active,Verified,0.0301,0.1174423530435995
SHIP_V_1240,sdv-id-ydiWAs,Industrial Chemicals,1121,50.0,1739,SHIP_V_1240,21.42,21737.5,21449.72,Active,Verified,0.0132,0.2093902603361704
SHIP_V_1349,sdv-id-DgLKPi,Ready-made Garments,390,8.5,185,SHIP_V_1349,44.88235294117647,2312.5,2222.52,Active,Verified,0.0389,0.2294812145969592
SHIP_V_1423,sdv-id-mYiYOB,Ready-made Garments,340,8.5,1753,SHIP_V_1423,39.0,21912.5,21092.21,Active,Verified,0.0374,0.1457760789703123
SHIP_V_1894,sdv-id-Ezppwn,Raw Jute,1655,5.0,777,GHOST_VESSEL_X,330.0,9712.5,0.0,Disconnected,No_Record,1.0,0.95296211540633
SHIP_V_1606,sdv-id-zPSlRx,Ready-made Garments,9,8.5,654,SHIP_V_1606,0.0588235294117647,8175.0,7862.99,Active,Verified,0.0382,0.1760428403929484
SHIP_V_1988,sdv-id-BckGFj,Smartphones,6,300.0,1999,SHIP_V_1988,-0.98,24987.5,24029.8,Active,Verified,0.0383,0.1209026834174684
SHIP_V_1189,sdv-id-QUyWvd,Smartphones,30,300.0,1328,SHIP_V_1189,-0.9,16600.0,16164.53,Active,Verified,0.0262,0.145856269498081
SHIP_V_1200,sdv-id-KEiVor,Ready-made Garments,952,8.5,758,GHOST_VESSEL_X,111.0,9475.0,0.0,Disconnected,No_Record,1.0,0.95296211540633
SHIP_V_1794,sdv-id-tOvEla,Smartphones,440,300.0,770,SHIP_V_1794,0.4666666666666667,9625.0,9355.72,Active,Verified,0.028,0.1412231410814862
SHIP_V_1552,sdv-id-pSNpOr,Ready-made Garments,578,8.5,1918,GHOST_VESSEL_X,67.0,23975.0,0.0,Disconnected,No_Record,1.0,0.95296211540633
SHIP_V_1053,sdv-id-TYejhq,Industrial Chemicals,942,50.0,827,SHIP_V_1053,17.84,10337.5,9993.64,Active,Verified,0.0333,0.1072324443227099
SHIP_V_1937,sdv-id-BfUdhU,Smartphones,1374,300.0,590,SHIP_V_1937,3.58,7375.0,7299.97,Active,Verified,0.0102,0.1868765196773626
SHIP_V_1501,sdv-id-HALeaa,Ready-made Garments,193,8.5,1235,SHIP_V_1501,21.705882352941178,15437.5,15160.11,Active,Verified,0.018,0.1499354981575942
SHIP_V_1428,sdv-id-EjmTxr,Ready-made Garments,2144,8.5,670,GHOST_VESSEL_X,251.23529411764707,8375.0,0.0,Disconnected,No_Record,1.0,0.95296211540633
SHIP_V_1148,sdv-id-xtEIGX,Smartphones,2339,300.0,769,SHIP_V_1148,6.796666666666667,9612.5,9451.68,Active,Verified,0.0167,0.2092336832172278
SHIP_V_1168,sdv-id-oCyKYC,Solar Panels,217,120.0,545,SHIP_V_1168,0.8083333333333333,6812.5,6536.84,Active,Verified,0.0405,0.1869256127421373
SHIP_V_1879,sdv-id-fhTTgS,Industrial Chemicals,2420,50.0,1578,SHIP_V_1879,47.4,19725.0,19179.26,Active,Verified,0.0277,0.1139151857564753
SHIP_V_1225,sdv-id-vhWTsN,Solar Panels,219,120.0,1648,SHIP_V_1225,0.825,20600.0,20027.52,Active,Verified,0.0278,0.2001701504979193
SHIP_V_1937,sdv-id-HYcsJR,Ready-made Garments,183,8.5,1819,SHIP_V_1937,20.529411764705884,22737.5,22449.53,Active,Verified,0.0127,0.1680515408136454
