doc_id,swift_msg_id,commodity,unit_price,market_avg,qty,vessel_id,price_deviation
SHIP_V_1959,sdv-id-KXflHB,Smartphones,200,300.0,430,SHIP_V_1959,-0.3333333333333333
SHIP_V_1790,sdv-id-LPnayA,Raw Jute,244,5.0,239,SHIP_V_1790,47.8
SHIP_V_1456,sdv-id-vkCnEy,Ready-made Garments,778,8.5,240,SHIP_V_1456,90.52941176470588
SHIP_V_1465,sdv-id-McJTYT,Smartphones,167,300.0,760,SHIP_V_1465,-0.4433333333333333
SHIP_V_1354,sdv-id-eQNtcD,Solar Panels,1187,120.0,1499,SHIP_V_1354,8.891666666666667
SHIP_V_1201,sdv-id-rQAkkY,Raw Jute,1177,5.0,1719,SHIP_V_1201,234.4
SHIP_V_1737,sdv-id-rTRGvq,Smartphones,422,300.0,1125,SHIP_V_1737,0.4066666666666667
SHIP_V_1187,sdv-id-SseGwh,Smartphones,290,300.0,1712,SHIP_V_1187,-0.0333333333333333
SHIP_V_1097,sdv-id-InBqfh,Smartphones,1746,300.0,331,SHIP_V_1097,4.82
SHIP_V_1031,sdv-id-aObYgo,Raw Jute,845,5.0,1641,SHIP_V_1031,168.0
SHIP_V_1111,sdv-id-mCQaoC,Smartphones,1389,300.0,510,SHIP_V_1111,3.63
SHIP_V_1680,sdv-id-JFDLhg,Ready-made Garments,459,8.5,1054,SHIP_V_1680,53.0
SHIP_V_1125,sdv-id-VHdBHo,Ready-made Garments,795,8.5,164,SHIP_V_1125,92.52941176470588
SHIP_V_1357,sdv-id-mIXKLO,Industrial Chemicals,251,50.0,1709,SHIP_V_1357,4.02
SHIP_V_1137,sdv-id-ANqLkR,Smartphones,554,300.0,110,SHIP_V_1137,0.8466666666666667
SHIP_V_1973,sdv-id-fiIpgE,Industrial Chemicals,1117,50.0,136,SHIP_V_1973,21.34
SHIP_V_1567,sdv-id-AAWqRk,Solar Panels,385,120.0,324,SHIP_V_1567,2.2083333333333335
SHIP_V_1406,sdv-id-qGerPJ,Ready-made Garments,3270,8.5,317,SHIP_V_1406,383.7058823529411
SHIP_V_1398,sdv-id-tvWwDr,Solar Panels,66,120.0,1862,SHIP_V_1398,-0.45
SHIP_V_1362,sdv-id-bSzXvd,Solar Panels,811,120.0,1822,SHIP_V_1362,5.758333333333334
SHIP_V_1229,sdv-id-SIwLtu,Solar Panels,235,120.0,1432,SHIP_V_1229,0.9583333333333334
SHIP_V_1796,sdv-id-wMvuxa,Industrial Chemicals,560,50.0,889,SHIP_V_1796,10.2
SHIP_V_1444,sdv-id-GHSYjL,Raw Jute,104,5.0,1351,SHIP_V_1444,19.8
SHIP_V_1572,sdv-id-RHYsNY,Smartphones,1905,300.0,1833,SHIP_V_1572,5.35
SHIP_V_1512,sdv-id-ERnigt,Industrial Chemicals,1576,50.0,110,SHIP_V_1512,30.52
SHIP_V_1342,sdv-id-bgcHHZ,Industrial Chemicals,929,50.0,158,SHIP_V_1342,17.58
SHIP_V_1794,sdv-id-LGBAvM,Solar Panels,25,120.0,1751,SHIP_V_1794,-0.7916666666666666
SHIP_V_1242,sdv-id-DMIKJF,Raw Jute,879,5.0,171,SHIP_V_1242,174.8
SHIP_V_1937,sdv-id-ZaTCVl,Smartphones,1857,300.0,900,SHIP_V_1937,5.19
SHIP_V_1456,sdv-id-ptKuoS,Industrial Chemicals,989,50.0,258,SHIP_V_1456,18.78
SHIP_V_1894,sdv-id-isoLaP,Ready-made Garments,332,8.5,1090,SHIP_V_1894,38.05882352941177
SHIP_V_1620,sdv-id-HgkSjW,Raw Jute,198,5.0,174,SHIP_V_1620,38.6
SHIP_V_1045,sdv-id-iAheaj,Smartphones,2236,300.0,1562,SHIP_V_1045,6.453333333333333
SHIP_V_1528,sdv-id-jgriey,Solar Panels,1277,120.0,618,SHIP_V_1528,9.641666666666667
SHIP_V_1346,sdv-id-JDBMHE,Smartphones,1544,300.0,1076,SHIP_V_1346,4.1466666666666665
SHIP_V_1584,sdv-id-QJpQeb,Ready-made Garments,481,8.5,367,SHIP_V_1584,55.588235294117645
SHIP_V_1258,sdv-id-QlqiIe,Smartphones,247,300.0,1571,SHIP_V_1258,-0.1766666666666666
SHIP_V_1916,sdv-id-xcSrJL,Raw Jute,896,5.0,755,SHIP_V_1916,178.2
SHIP_V_1694,sdv-id-wflWqO,Industrial Chemicals,1484,50.0,1681,SHIP_V_1694,28.68
SHIP_V_1524,sdv-id-vCRNKe,Solar Panels,701,120.0,1257,SHIP_V_1524,4.841666666666667
SHIP_V_1479,sdv-id-YIzOxh,Smartphones,681,300.0,1836,SHIP_V_1479,1.27
