doc_id,swift_msg_id,commodity,unit_price,market_avg,qty,vessel_id,price_deviation
SHIP_V_1898,sdv-id-BTXGVS,Ready-made Garments,1799,8.5,1241,SHIP_V_1898,210.64705882352945
SHIP_V_1352,sdv-id-gIShBE,Smartphones,237,300.0,1594,SHIP_V_1352,-0.21
SHIP_V_1865,sdv-id-FynkmE,Smartphones,437,300.0,1809,SHIP_V_1865,0.4566666666666666
SHIP_V_1945,sdv-id-rWGwWT,Industrial Chemicals,631,50.0,1184,SHIP_V_1945,11.62
SHIP_V_1223,sdv-id-CzpBVg,Smartphones,137,300.0,1206,SHIP_V_1223,-0.5433333333333333
SHIP_V_1515,sdv-id-IQskgm,Smartphones,570,300.0,890,SHIP_V_1515,0.9
SHIP_V_1562,sdv-id-iHrFSi,Ready-made Garments,185,8.5,1224,SHIP_V_1562,20.764705882352946
SHIP_V_1837,sdv-id-ZYGRxW,Industrial Chemicals,732,50.0,1519,SHIP_V_1837,13.64
SHIP_V_1763,sdv-id-oQZrsO,Solar Panels,272,120.0,1391,SHIP_V_1763,1.2666666666666666
SHIP_V_1799,sdv-id-TrOYsb,Raw Jute,505,5.0,1071,SHIP_V_1799,100.0
SHIP_V_1793,sdv-id-tEIxWz,Solar Panels,903,120.0,405,SHIP_V_1793,6.525
SHIP_V_1308,sdv-id-NBqWwI,Solar Panels,1174,120.0,1849,SHIP_V_1308,8.783333333333333
SHIP_V_1066,sdv-id-MAMYkP,Smartphones,1492,300.0,869,SHIP_V_1066,3.973333333333333
SHIP_V_1724,sdv-id-zURVIi,Solar Panels,768,120.0,309,SHIP_V_1724,5.4
SHIP_V_1432,sdv-id-cnCfWz,Smartphones,233,300.0,1627,SHIP_V_1432,-0.2233333333333333
SHIP_V_1983,sdv-id-yzgBur,Ready-made Garments,152,8.5,503,SHIP_V_1983,16.88235294117647
SHIP_V_1586,sdv-id-KBSugE,Raw Jute,878,5.0,1641,SHIP_V_1586,174.6
SHIP_V_1448,sdv-id-shubnd,Smartphones,1890,300.0,1424,SHIP_V_1448,5.3
SHIP_V_1547,sdv-id-wIaixJ,Ready-made Garments,1040,8.5,632,SHIP_V_1547,121.3529411764706
SHIP_V_1061,sdv-id-SsYgDd,Solar Panels,1085,120.0,832,SHIP_V_1061,8.041666666666666
SHIP_V_1252,sdv-id-IFnOCh,Smartphones,2640,300.0,1198,SHIP_V_1252,7.8
SHIP_V_1479,sdv-id-gdQFkv,Solar Panels,474,120.0,1680,SHIP_V_1479,2.95
SHIP_V_1762,sdv-id-ruMorw,Ready-made Garments,552,8.5,587,SHIP_V_1762,63.94117647058823
SHIP_V_1457,sdv-id-FXVpKJ,Smartphones,8,300.0,126,SHIP_V_1457,-0.9733333333333334
SHIP_V_1225,sdv-id-hURNiv,Smartphones,555,300.0,1276,SHIP_V_1225,0.85
SHIP_V_1954,sdv-id-REszsP,Industrial Chemicals,739,50.0,1635,SHIP_V_1954,13.78
SHIP_V_1685,sdv-id-OOGobd,Smartphones,589,300.0,273,SHIP_V_1685,0.9633333333333334
SHIP_V_1761,sdv-id-HeTMWP,Solar Panels,1216,120.0,1703,SHIP_V_1761,9.133333333333333
SHIP_V_1042,sdv-id-FpZngq,Raw Jute,49,5.0,1016,SHIP_V_1042,8.8
SHIP_V_1971,sdv-id-HjpTLb,Raw Jute,605,5.0,1967,SHIP_V_1971,120.0
SHIP_V_1495,sdv-id-HZeDXj,Smartphones,1472,300.0,285,SHIP_V_1495,3.9066666666666663
SHIP_V_1600,sdv-id-SNQnAK,Smartphones,1340,300.0,1148,SHIP_V_1600,3.466666666666667
SHIP_V_1533,sdv-id-dmXxpQ,Raw Jute,1284,5.0,1483,SHIP_V_1533,255.8
SHIP_V_1154,sdv-id-qJanDs,Solar Panels,361,120.0,509,SHIP_V_1154,2.0083333333333333
SHIP_V_1641,sdv-id-TorXZQ,Solar Panels,55,120.0,253,SHIP_V_1641,-0.5416666666666666
