doc_id,swift_msg_id,commodity,unit_price,market_avg,qty,vessel_id,price_deviation,declared_weight_kg,actual_weight_kg,ais_status,port_log_status,weight_gap_score,device_entropy
SHIP_V_1959,sdv-id-KXflHB,Smartphones,200,300.0,430,SHIP_V_1959,-0.3333333333333333,5375.0,5270.67,Active,Verified,0.0194,0.14323671478696
SHIP_V_1790,sdv-id-LPnayA,Raw Jute,244,5.0,239,SHIP_V_1790,47.8,2987.5,2923.96,Active,Verified,0.0213,0.1124918727653321
SHIP_V_1456,sdv-id-vkCnEy,Ready-made Garments,778,8.5,240,GHOST_VESSEL_X,90.52941176470588,3000.0,0.0,Disconnected,No_Record,1.0,0.866733672058525
SHIP_V_1465,sdv-id-McJTYT,Smartphones,167,300.0,760,SHIP_V_1465,-0.4433333333333333,9500.0,9126.65,Active,Verified,0.0393,0.2094824768396617
SHIP_V_1354,sdv-id-eQNtcD,Solar Panels,1187,120.0,1499,SHIP_V_1354,8.891666666666667,18737.5,18498.32,Active,Verified,0.0128,0.1539071548327887
SHIP_V_1201,sdv-id-rQAkkY,Raw Jute,1177,5.0,1719,GHOST_VESSEL_X,234.4,21487.5,0.0,Disconnected,No_Record,1.0,0.866733672058525
SHIP_V_1737,sdv-id-rTRGvq,Smartphones,422,300.0,1125,SHIP_V_1737,0.4066666666666667,14062.5,13384.89,Active,Verified,0.0482,0.2048483992137416
SHIP_V_1187,sdv-id-SseGwh,Smartphones,290,300.0,1712,SHIP_V_1187,-0.0333333333333333,21400.0,20395.9,Active,Verified,0.0469,0.150253433701866
SHIP_V_1097,sdv-id-InBqfh,Smartphones,1746,300.0,331,SHIP_V_1097,4.82,4137.5,4012.97,Active,Verified,0.0301,0.1293127072050086
SHIP_V_1031,sdv-id-aObYgo,Raw Jute,845,5.0,1641,GHOST_VESSEL_X,168.0,20512.5,0.0,Disconnected,No_Record,1.0,0.866733672058525
SHIP_V_1111,sdv-id-mCQaoC,Smartphones,1389,300.0,510,SHIP_V_1111,3.63,6375.0,6297.99,Active,Verified,0.0121,0.1381792378967056
SHIP_V_1680,sdv-id-JFDLhg,Ready-made Garments,459,8.5,1054,SHIP_V_1680,53.0,13175.0,12954.52,Active,Verified,0.0167,0.1256421045732399
SHIP_V_1125,sdv-id-VHdBHo,Ready-made Garments,795,8.5,164,GHOST_VESSEL_X,92.52941176470588,2050.0,0.0,Disconnected,No_Record,1.0,0.866733672058525
