doc_id,swift_msg_id,commodity,unit_price,market_avg,qty,vessel_id,price_deviation,declared_weight_kg,actual_weight_kg,ais_status,port_log_status,weight_gap_score,device_entropy
SHIP_V_1898,sdv-id-BTXGVS,Ready-made Garments,1799,8.5,1241,GHOST_VESSEL_X,210.64705882352945,15512.5,0.0,Disconnected,No_Record,1.0,0.9754467559053368
SHIP_V_1352,sdv-id-gIShBE,Smartphones,237,300.0,1594,SHIP_V_1352,-0.21,19925.0,19565.72,Active,Verified,0.018,0.1669267232163797
SHIP_V_1865,sdv-id-FynkmE,Smartphones,437,300.0,1809,SHIP_V_1865,0.4566666666666666,22612.5,21767.79,Active,Verified,0.0374,0.2389728484100663
SHIP_V_1945,sdv-id-rWGwWT,Industrial Chemicals,631,50.0,1184,SHIP_V_1945,11.62,14800.0,14548.13,Active,Verified,0.017,0.2069260021963932
SHIP_V_1223,sdv-id-CzpBVg,Smartphones,137,300.0,1206,SHIP_V_1223,-0.5433333333333333,15075.0,14528.6,Active,Verified,0.0362,0.1333800475808289
SHIP_V_1515,sdv-id-IQskgm,Smartphones,570,300.0,890,SHIP_V_1515,0.9,11125.0,10573.29,Active,Verified,0.0496,0.244393962352908
SHIP_V_1562,sdv-id-iHrFSi,Ready-made Garments,185,8.5,1224,SHIP_V_1562,20.764705882352946,15300.0,14968.7,Active,Verified,0.0217,0.1198280562179623
SHIP_V_1837,sdv-id-ZYGRxW,Industrial Chemicals,732,50.0,1519,SHIP_V_1837,13.64,18987.5,18320.06,Active,Verified,0.0352,0.2498950002244464
SHIP_V_1763,sdv-id-oQZrsO,Solar Panels,272,120.0,1391,SHIP_V_1763,1.2666666666666666,17387.5,17172.44,Active,Verified,0.0124,0.2324633585631746
SHIP_V_1799,sdv-id-TrOYsb,Raw Jute,505,5.0,1071,GHOST_VESSEL_X,100.0,13387.5,0.0,Disconnected,No_Record,1.0,0.9754467559053368
SHIP_V_1793,sdv-id-tEIxWz,Solar Panels,903,120.0,405,SHIP_V_1793,6.525,5062.5,4878.99,Active,Verified,0.0362,0.116965967776593
SHIP_V_1308,sdv-id-NBqWwI,Solar Panels,1174,120.0,1849,SHIP_V_1308,8.783333333333333,23112.5,22728.17,Active,Verified,0.0166,0.147547910365929
SHIP_V_1066,sdv-id-MAMYkP,Smartphones,1492,300.0,869,SHIP_V_1066,3.973333333333333,10862.5,10337.08,Active,Verified,0.0484,0.1122195155312159
SHIP_V_1724,sdv-id-zURVIi,Solar Panels,768,120.0,309,SHIP_V_1724,5.4,3862.5,3726.06,Active,Verified,0.0353,0.1332385182579104
SHIP_V_1432,sdv-id-cnCfWz,Smartphones,233,300.0,1627,SHIP_V_1432,-0.2233333333333333,20337.5,19770.39,Active,Verified,0.0279,0.172699605878704
SHIP_V_1983,sdv-id-yzgBur,Ready-made Garments,152,8.5,503,SHIP_V_1983,16.88235294117647,6287.5,6108.74,Active,Verified,0.0284,0.1934710074496209
SHIP_V_1586,sdv-id-KBSugE,Raw Jute,878,5.0,1641,GHOST_VESSEL_X,174.6,20512.5,0.0,Disconnected,No_Record,1.0,0.9754467559053368
SHIP_V_1448,sdv-id-shubnd,Smartphones,1890,300.0,1424,SHIP_V_1448,5.3,17800.0,17211.41,Active,Verified,0.0331,0.1298904805492066
SHIP_V_1547,sdv-id-wIaixJ,Ready-made Garments,1040,8.5,632,GHOST_VESSEL_X,121.3529411764706,7900.0,0.0,Disconnected,No_Record,1.0,0.9754467559053368
SHIP_V_1061,sdv-id-SsYgDd,Solar Panels,1085,120.0,832,SHIP_V_1061,8.041666666666666,10400.0,9925.85,Active,Verified,0.0456,0.1526607294598543
SHIP_V_1252,sdv-id-IFnOCh,Smartphones,2640,300.0,1198,SHIP_V_1252,7.8,14975.0,14332.69,Active,Verified,0.0429,0.1521449970638182
SHIP_V_1479,sdv-id-gdQFkv,Solar Panels,474,120.0,1680,SHIP_V_1479,2.95,21000.0,20255.49,Active,Verified,0.0355,0.1045239380978164
SHIP_V_1762,sdv-id-ruMorw,Ready-made Garments,552,8.5,587,GHOST_VESSEL_X,63.94117647058823,7337.5,0.0,Disconnected,No_Record,1.0,0.9754467559053368
SHIP_V_1457,sdv-id-FXVpKJ,Smartphones,8,300.0,126,SHIP_V_1457,-0.9733333333333334,1575.0,1522.98,Active,Verified,0.033,0.2416568123269579
SHIP_V_1225,sdv-id-hURNiv,Smartphones,555,300.0,1276,SHIP_V_1225,0.85,15950.0,15303.21,Active,Verified,0.0406,0.1201838083776563
SHIP_V_1954,sdv-id-REszsP,Industrial Chemicals,739,50.0,1635,SHIP_V_1954,13.78,20437.5,19996.28,Active,Verified,0.0216,0.2004203914711746
SHIP_V_1685,sdv-id-OOGobd,Smartphones,589,300.0,273,SHIP_V_1685,0.9633333333333334,3412.5,3278.59,Active,Verified,0.0392,0.2484110531375238
SHIP_V_1761,sdv-id-HeTMWP,Solar Panels,1216,120.0,1703,SHIP_V_1761,9.133333333333333,21287.5,20738.5,Active,Verified,0.0258,0.1980905435139169
SHIP_V_1042,sdv-id-FpZngq,Raw Jute,49,5.0,1016,SHIP_V_1042,8.8,12700.0,12361.11,Active,Verified,0.0267,0.1047774250309538
