doc_id,swift_msg_id,commodity,unit_price,market_avg,qty,vessel_id,price_deviation
SHIP_V_1003,sdv-id-UBStqt,Raw Jute,902,5.0,1839,SHIP_V_1003,179.4
SHIP_V_1631,sdv-id-DkoVul,Industrial Chemicals,638,50.0,1779,SHIP_V_1631,11.76
SHIP_V_1751,sdv-id-rzNwCt,Industrial Chemicals,1373,50.0,1603,SHIP_V_1751,26.46
SHIP_V_1354,sdv-id-rOxscH,Solar Panels,501,120.0,581,SHIP_V_1354,3.175
SHIP_V_1732,sdv-id-YGruGT,Ready-made Garments,1364,8.5,1815,SHIP_V_1732,159.47058823529412
SHIP_V_1030,sdv-id-xOkEKz,Smartphones,882,300.0,1666,SHIP_V_1030,1.94
SHIP_V_1651,sdv-id-EYzZUF,Ready-made Garments,80,8.5,1817,SHIP_V_1651,8.411764705882353
SHIP_V_1419,sdv-id-sMDAlO,Ready-made Garments,326,8.5,1321,SHIP_V_1419,37.35294117647059
SHIP_V_1060,sdv-id-eUTRjM,Smartphones,967,300.0,643,SHIP_V_1060,2.223333333333333
SHIP_V_1791,sdv-id-OpCkDZ,Raw Jute,195,5.0,1354,SHIP_V_1791,38.0
SHIP_V_1268,sdv-id-KUosHA,Raw Jute,898,5.0,1551,SHIP_V_1268,178.6
SHIP_V_1959,sdv-id-EFAxze,Industrial Chemicals,462,50.0,656,SHIP_V_1959,8.24
SHIP_V_1655,sdv-id-dmfxDU,Raw Jute,240,5.0,1729,SHIP_V_1655,47.0
SHIP_V_1873,sdv-id-mxSIdC,Ready-made Garments,234,8.5,1453,SHIP_V_1873,26.529411764705884
SHIP_V_1132,sdv-id-pqspiD,Ready-made Garments,56,8.5,394,SHIP_V_1132,5.588235294117647
SHIP_V_1136,sdv-id-ubKfSm,Smartphones,1239,300.0,199,SHIP_V_1136,3.13
SHIP_V_1833,sdv-id-bXlvbH,Raw Jute,915,5.0,888,SHIP_V_1833,182.0
SHIP_V_1212,sdv-id-HBbeTd,Solar Panels,631,120.0,721,SHIP_V_1212,4.258333333333334
SHIP_V_1726,sdv-id-gQVsAo,Industrial Chemicals,250,50.0,1153,SHIP_V_1726,4.0
SHIP_V_1738,sdv-id-sAnukt,Smartphones,153,300.0,912,SHIP_V_1738,-0.49
SHIP_V_1062,sdv-id-yfvMVs,Solar Panels,224,120.0,1971,SHIP_V_1062,0.8666666666666667
SHIP_V_1186,sdv-id-lAJvkL,Industrial Chemicals,746,50.0,389,SHIP_V_1186,13.92
SHIP_V_1138,sdv-id-lBKKsE,Raw Jute,923,5.0,442,SHIP_V_1138,183.6
SHIP_V_1314,sdv-id-HnSxBC,Smartphones,225,300.0,1770,SHIP_V_1314,-0.25
SHIP_V_1598,sdv-id-RniEPm,Raw Jute,776,5.0,538,SHIP_V_1598,154.2
SHIP_V_1590,sdv-id-NlZxRy,Industrial Chemicals,1957,50.0,455,SHIP_V_1590,38.14
SHIP_V_1677,sdv-id-gOijaV,Smartphones,368,300.0,1840,SHIP_V_1677,0.2266666666666666
SHIP_V_1183,sdv-id-DfnKUN,Solar Panels,1190,120.0,1226,SHIP_V_1183,8.916666666666666
SHIP_V_1574,sdv-id-QyFifJ,Raw Jute,475,5.0,1796,SHIP_V_1574,94.0
SHIP_V_1552,sdv-id-umiutQ,Raw Jute,262,5.0,569,SHIP_V_1552,51.4
SHIP_V_1240,sdv-id-ydiWAs,Industrial Chemicals,1121,50.0,1739,SHIP_V_1240,21.42
SHIP_V_1349,sdv-id-DgLKPi,Ready-made Garments,390,8.5,185,SHIP_V_1349,44.88235294117647
SHIP_V_1423,sdv-id-mYiYOB,Ready-made Garments,340,8.5,1753,SHIP_V_1423,39.0
SHIP_V_1894,sdv-id-Ezppwn,Raw Jute,1655,5.0,777,SHIP_V_1894,330.0
SHIP_V_1606,sdv-id-zPSlRx,Ready-made Garments,9,8.5,654,SHIP_V_1606,0.0588235294117647
SHIP_V_1988,sdv-id-BckGFj,Smartphones,6,300.0,1999,SHIP_V_1988,-0.98
SHIP_V_1189,sdv-id-QUyWvd,Smartphones,30,300.0,1328,SHIP_V_1189,-0.9
SHIP_V_1200,sdv-id-KEiVor,Ready-made Garments,952,8.5,758,SHIP_V_1200,111.0
SHIP_V_1794,sdv-id-tOvEla,Smartphones,440,300.0,770,SHIP_V_1794,0.4666666666666667
SHIP_V_1552,sdv-id-pSNpOr,Ready-made Garments,578,8.5,1918,SHIP_V_1552,67.0
SHIP_V_1053,sdv-id-TYejhq,Industrial Chemicals,942,50.0,827,SHIP_V_1053,17.84
SHIP_V_1937,sdv-id-BfUdhU,Smartphones,1374,300.0,590,SHIP_V_1937,3.58
SHIP_V_1501,sdv-id-HALeaa,Ready-made Garments,193,8.5,1235,SHIP_V_1501,21.705882352941178
SHIP_V_1428,sdv-id-EjmTxr,Ready-made Garments,2144,8.5,670,SHIP_V_1428,251.23529411764707
SHIP_V_1148,sdv-id-xtEIGX,Smartphones,2339,300.0,769,SHIP_V_1148,6.796666666666667
SHIP_V_1168,sdv-id-oCyKYC,Solar Panels,217,120.0,545,SHIP_V_1168,0.8083333333333333
SHIP_V_1879,sdv-id-fhTTgS,Industrial Chemicals,2420,50.0,1578,SHIP_V_1879,47.4
SHIP_V_1225,sdv-id-vhWTsN,Solar Panels,219,120.0,1648,SHIP_V_1225,0.825
SHIP_V_1937,sdv-id-HYcsJR,Ready-made Garments,183,8.5,1819,SHIP_V_1937,20.529411764705884
SHIP_V_1136,sdv-id-MVJBKP,Ready-made Garments,571,8.5,1662,SHIP_V_1136,66.17647058823529
SHIP_V_1874,sdv-id-jHcWOP,Smartphones,1214,300.0,369,SHIP_V_1874,3.046666666666667
SHIP_V_1096,sdv-id-dpAPZl,Ready-made Garments,814,8.5,964,SHIP_V_1096,94.76470588235294
SHIP_V_1321,sdv-id-YOMRkx,Ready-made Garments,1626,8.5,192,SHIP_V_1321,190.2941176470588
SHIP_V_1224,sdv-id-foIJgp,Ready-made Garments,187,8.5,1212,SHIP_V_1224,21.0
SHIP_V_1651,sdv-id-UFCqbv,Raw Jute,10,5.0,464,SHIP_V_1651,1.0
SHIP_V_1249,sdv-id-jvJXtE,Solar Panels,223,120.0,277,SHIP_V_1249,0.8583333333333333
SHIP_V_1426,sdv-id-JLvrnm,Raw Jute,327,5.0,141,SHIP_V_1426,64.4
SHIP_V_1431,sdv-id-cFnFyK,Smartphones,1602,300.0,335,SHIP_V_1431,4.34
SHIP_V_1749,sdv-id-MDoqTx,Ready-made Garments,987,8.5,263,SHIP_V_1749,115.11764705882354
SHIP_V_1316,sdv-id-ASgtaO,Smartphones,328,300.0,1194,SHIP_V_1316,0.0933333333333333
SHIP_V_1996,sdv-id-VBFLCE,Solar Panels,804,120.0,841,SHIP_V_1996,5.7
SHIP_V_1554,sdv-id-TkvYsT,Smartphones,333,300.0,1062,SHIP_V_1554,0.11
SHIP_V_1514,sdv-id-TKSFMa,Industrial Chemicals,800,50.0,703,SHIP_V_1514,15.0
SHIP_V_1335,sdv-id-KQOjXU,Smartphones,31,300.0,293,SHIP_V_1335,-0.8966666666666666
SHIP_V_1188,sdv-id-jUBdZi,Industrial Chemicals,1431,50.0,1411,SHIP_V_1188,27.62
SHIP_V_1534,sdv-id-bOlhfE,Industrial Chemicals,316,50.0,904,SHIP_V_1534,5.32
SHIP_V_1989,sdv-id-GCmfsT,Ready-made Garments,423,8.5,1839,SHIP_V_1989,48.76470588235294
