entity_id,jurisdiction,incorp_date,is_shell,dorm_days,device_hash,industry,device_entropy
ACC_240,Bangladesh,2020-01-01,0,33,DEV_HASH_014,Textiles,4
ACC_223,UAE,2020-01-01,0,37,DEV_HASH_003,Electronics,24
ACC_277,India,2020-01-01,0,19,DEV_HASH_008,Chemicals,11
ACC_136,Bangladesh,2021-06-15,0,37,DEV_HASH_028,Textiles,3
ACC_174,Bangladesh,2022-09-10,0,33,DEV_HASH_038,Electronics,59
ACC_219,UAE,2022-09-10,0,27,DEV_HASH_037,Textiles,22
ACC_230,UAE,2021-06-15,0,26,DEV_HASH_043,Electronics,5
ACC_148,Bangladesh,2020-01-01,0,9,DEV_HASH_043,Chemicals,79
ACC_215,Bangladesh,2022-09-10,1,907,DEV_HASH_044,Chemicals,2
ACC_212,Bangladesh,2022-09-10,1,957,DEV_HASH_017,Chemicals,360
ACC_289,India,2020-01-01,0,1,DEV_HASH_001,Chemicals,65
ACC_110,UAE,2022-09-10,0,28,DEV_HASH_031,Electronics,135
ACC_116,Bangladesh,2021-06-15,0,10,DEV_HASH_028,Textiles,104
ACC_180,UAE,2021-06-15,0,44,DEV_HASH_038,Chemicals,277
ACC_269,India,2020-01-01,0,15,DEV_HASH_020,Textiles,1
ACC_141,UAE,2020-01-01,1,562,DEV_HASH_046,Electronics,2
ACC_202,UAE,2022-09-10,1,737,DEV_HASH_022,Textiles,21
ACC_194,India,2020-01-01,0,25,DEV_HASH_021,Textiles,108
ACC_151,India,2022-09-10,0,27,DEV_HASH_045,Chemicals,9
ACC_161,UAE,2022-09-10,0,13,DEV_HASH_004,Chemicals,5
ACC_241,India,2022-09-10,0,20,DEV_HASH_025,Textiles,88
ACC_236,Bangladesh,2022-09-10,0,36,DEV_HASH_036,Electronics,286
ACC_112,UAE,2022-09-10,1,932,DEV_HASH_005,Chemicals,10
ACC_210,Bangladesh,2021-06-15,0,1,DEV_HASH_023,Textiles,28
ACC_109,India,2020-01-01,0,16,DEV_HASH_024,Electronics,13
ACC_144,UAE,2020-01-01,0,3,DEV_HASH_049,Electronics,105
ACC_175,UAE,2020-01-01,1,1158,DEV_HASH_002,Electronics,104
ACC_268,UAE,2020-01-01,0,33,DEV_HASH_003,Electronics,107
ACC_292,Bangladesh,2020-01-01,0,41,DEV_HASH_016,Electronics,115
ACC_206,India,2021-06-15,1,1072,DEV_HASH_016,Electronics,195
ACC_150,Bangladesh,2022-09-10,0,35,DEV_HASH_009,Chemicals,102
ACC_265,Bangladesh,2020-01-01,0,26,DEV_HASH_024,Chemicals,1
ACC_250,Bangladesh,2020-01-01,0,34,DEV_HASH_004,Textiles,271
ACC_227,India,2020-01-01,0,36,DEV_HASH_045,Chemicals,260
ACC_283,India,2021-06-15,0,24,DEV_HASH_015,Textiles,146
ACC_158,Bangladesh,2021-06-15,0,16,DEV_HASH_033,Chemicals,75
ACC_274,Bangladesh,2022-09-10,1,921,DEV_HASH_007,Electronics,118
ACC_213,India,2022-09-10,1,1254,DEV_HASH_009,Textiles,4
ACC_135,UAE,2022-09-10,0,34,DEV_HASH_004,Electronics,127
