entity_id,jurisdiction,incorp_date,is_shell,dorm_days,device_hash,industry
ACC_201,India,2021-06-15,0,47,DEV_HASH_034,Chemicals
ACC_241,India,2022-09-10,0,20,DEV_HASH_025,Textiles
ACC_296,Bangladesh,2022-09-10,0,32,DEV_HASH_011,Textiles
ACC_225,India,2020-01-01,0,14,DEV_HASH_008,Textiles
ACC_220,UAE,2020-01-01,1,893,DEV_HASH_003,Electronics
ACC_122,UAE,2021-06-15,0,42,DEV_HASH_004,Chemicals
ACC_239,India,2020-01-01,0,49,DEV_HASH_036,Chemicals
ACC_271,Bangladesh,2021-06-15,0,50,DEV_HASH_005,Electronics
ACC_100,UAE,2021-06-15,0,17,DEV_HASH_014,Textiles
ACC_185,Bangladesh,2021-06-15,0,11,DEV_HASH_002,Chemicals
ACC_103,India,2021-06-15,0,18,DEV_HASH_004,Electronics
ACC_258,UAE,2022-09-10,0,5,DEV_HASH_044,Textiles
ACC_224,Bangladesh,2021-06-15,0,10,DEV_HASH_013,Chemicals
ACC_253,Bangladesh,2022-09-10,0,49,DEV_HASH_019,Textiles
ACC_158,Bangladesh,2021-06-15,0,16,DEV_HASH_033,Chemicals
ACC_114,UAE,2022-09-10,0,39,DEV_HASH_049,Electronics
ACC_117,India,2020-01-01,0,23,DEV_HASH_042,Textiles
ACC_146,Bangladesh,2020-01-01,0,41,DEV_HASH_028,Chemicals
ACC_260,UAE,2020-01-01,0,23,DEV_HASH_018,Chemicals
ACC_149,Bangladesh,2022-09-10,0,48,DEV_HASH_045,Chemicals
ACC_250,Bangladesh,2020-01-01,0,34,DEV_HASH_004,Textiles
ACC_116,Bangladesh,2021-06-15,0,10,DEV_HASH_028,Textiles
ACC_118,UAE,2022-09-10,0,4,DEV_HASH_003,Textiles
ACC_142,Bangladesh,2022-09-10,0,33,DEV_HASH_019,Chemicals
ACC_120,India,2020-01-01,0,15,DEV_HASH_005,Electronics
ACC_221,India,2021-06-15,0,30,DEV_HASH_035,Electronics
ACC_233,Bangladesh,2021-06-15,0,34,DEV_HASH_003,Electronics
ACC_101,Bangladesh,2021-06-15,0,44,DEV_HASH_011,Electronics
ACC_211,India,2022-09-10,0,43,DEV_HASH_002,Electronics
ACC_246,UAE,2021-06-15,0,43,DEV_HASH_019,Electronics
ACC_130,Bangladesh,2022-09-10,0,49,DEV_HASH_047,Electronics
ACC_245,UAE,2022-09-10,0,1,DEV_HASH_001,Chemicals
ACC_173,Bangladesh,2022-09-10,0,31,DEV_HASH_037,Textiles
ACC_273,India,2021-06-15,0,39,DEV_HASH_034,Electronics
ACC_176,Bangladesh,2021-06-15,0,13,DEV_HASH_006,Chemicals
ACC_113,UAE,2021-06-15,0,7,DEV_HASH_005,Textiles
ACC_287,Bangladesh,2020-01-01,0,9,DEV_HASH_047,Chemicals
ACC_194,India,2020-01-01,0,25,DEV_HASH_021,Textiles
ACC_145,UAE,2021-06-15,0,49,DEV_HASH_003,Textiles
