txn_id,account_id,bank_id,amount,currency,timestamp,is_dormant_flag,label
TXN_5000,ACC_268,BANK_UK_02,13145,USD,2026-03-28 11:14:00,0,0
TXN_5001,ACC_140,BANK_BD_01,95550,USD,2026-03-08 22:22:00,0,0
TXN_5002,ACC_106,BANK_BD_02,14364,USD,2026-03-04 09:12:00,0,0
TXN_5003,ACC_225,BANK_BD_02,71649,USD,2026-03-29 11:36:00,0,0
TXN_5004,ACC_155,BANK_UK_02,68334,USD,2026-03-03 05:40:00,0,0
TXN_5005,ACC_149,BANK_UK_02,6384,USD,2026-03-09 16:56:00,0,0
TXN_5006,ACC_176,BANK_BD_02,22500,USD,2026-03-02 11:54:00,0,0
TXN_5007,ACC_157,BANK_BD_02,68805,USD,2026-03-22 20:22:00,0,0
TXN_5008,ACC_117,BANK_BD_02,14256,USD,2026-03-12 15:23:00,0,0
TXN_5009,ACC_142,BANK_BD_02,48048,USD,2026-01-28 12:25:00,0,0
TXN_5010,ACC_177,BANK_BD_01,64818,USD,2026-01-28 00:28:00,0,0
TXN_5011,ACC_129,BANK_BD_02,4488,USD,2026-01-04 06:21:00,0,0
TXN_5012,ACC_264,BANK_UK_02,932,USD,2026-03-20 03:35:00,1,1
TXN_5013,ACC_264,BANK_UK_01,49352,USD,2026-01-08 15:11:00,0,0
TXN_5014,ACC_133,BANK_UK_01,46000,USD,2026-03-28 01:03:00,0,0
TXN_5015,ACC_277,BANK_BD_02,17787,USD,2026-03-23 12:22:00,0,0
TXN_5016,ACC_158,BANK_UK_02,64354,USD,2026-03-17 02:14:00,0,0
TXN_5017,ACC_240,BANK_UK_02,79920,USD,2026-02-26 02:38:00,0,0
TXN_5018,ACC_259,BANK_UK_01,96301,USD,2026-01-28 16:45:00,0,0
TXN_5019,ACC_121,BANK_BD_01,6413,USD,2026-01-05 07:44:00,0,0
TXN_5020,ACC_244,BANK_BD_01,3716,USD,2026-03-24 02:55:00,1,1
TXN_5021,ACC_140,BANK_BD_01,40050,USD,2026-03-29 18:55:00,0,0
TXN_5022,ACC_172,BANK_UK_01,22100,USD,2026-03-30 22:31:00,0,0
TXN_5023,ACC_278,BANK_UK_01,626444,USD,2026-03-12 01:05:00,1,1
TXN_5024,ACC_167,BANK_UK_01,7912,USD,2026-03-07 22:06:00,0,0
TXN_5025,ACC_265,BANK_BD_01,28362,USD,2026-02-18 12:23:00,0,0
TXN_5026,ACC_235,BANK_BD_02,21889,USD,2026-01-04 00:31:00,0,0
TXN_5027,ACC_217,BANK_BD_01,41916,USD,2026-01-08 10:34:00,0,0
TXN_5028,ACC_183,BANK_BD_02,876300,USD,2026-01-31 04:47:00,1,1
TXN_5029,ACC_221,BANK_UK_01,4021134,USD,2026-03-25 06:06:00,1,1
TXN_5030,ACC_143,BANK_BD_02,28012,USD,2026-03-17 23:38:00,0,0
TXN_5031,ACC_127,BANK_BD_01,71412,USD,2026-02-07 03:52:00,0,0
TXN_5032,ACC_109,BANK_UK_01,1318445,USD,2026-01-02 21:05:00,1,1
TXN_5033,ACC_297,BANK_UK_01,13035,USD,2026-03-22 08:20:00,0,0
TXN_5034,ACC_190,BANK_BD_01,5512,USD,2026-01-09 22:51:00,0,0
TXN_5035,ACC_149,BANK_BD_02,2908,USD,2026-01-07 11:57:00,1,1
TXN_5036,ACC_119,BANK_BD_02,74640,USD,2026-02-06 16:01:00,0,0
TXN_5037,ACC_230,BANK_BD_02,1969,USD,2026-03-28 14:19:00,1,1
TXN_5038,ACC_207,BANK_BD_01,26638,USD,2026-02-10 13:35:00,0,0
TXN_5039,ACC_127,BANK_BD_02,94424,USD,2026-01-22 18:35:00,0,0
