txn_id,account_id,device_id_hash,ip_address,proxy_vpn_flag,login_entropy_score
TXN_5000,ACC_268,DEV_HASH_017,103.224.106.126,0,0.01031361828725057
TXN_5001,ACC_140,DEV_HASH_038,103.20.209.232,0,0.0924928341011018
TXN_5002,ACC_106,DEV_HASH_046,103.216.138.59,0,0.15183947014722318
TXN_5003,ACC_225,DEV_HASH_040,103.36.167.218,0,0.08551257075595965
TXN_5004,ACC_155,DEV_HASH_046,103.175.177.213,0,0.2416520450115627
TXN_5005,ACC_149,DEV_HASH_025,103.68.33.149,0,0.08466099256665272
TXN_5006,ACC_176,DEV_HASH_042,103.170.169.250,0,0.23214309166464298
TXN_5007,ACC_157,DEV_HASH_009,103.65.53.178,0,0.07713652381498946
TXN_5008,ACC_117,DEV_HASH_009,103.4.147.158,0,0.035770472602684344
TXN_5009,ACC_142,DEV_HASH_036,103.232.15.196,0,0.17079765871831715
TXN_5010,ACC_177,DEV_HASH_011,103.80.178.43,0,0.06078242794214944
TXN_5011,ACC_129,DEV_HASH_037,103.93.80.150,0,0.048090122728667015
TXN_5012,ACC_264,DEV_HASH_005,103.70.222.231,1,0.879460925099217
TXN_5013,ACC_264,DEV_HASH_025,103.92.104.17,0,0.046277918217453626
TXN_5014,ACC_133,DEV_HASH_040,103.182.137.28,0,0.21404999504375813
TXN_5015,ACC_277,DEV_HASH_025,103.152.174.82,0,0.03237099944246165
TXN_5016,ACC_158,DEV_HASH_022,103.88.147.13,0,0.12626520045546777
TXN_5017,ACC_240,DEV_HASH_046,103.68.222.41,0,0.13079011421875736
TXN_5018,ACC_259,DEV_HASH_010,103.225.102.140,0,0.2070325948175427
TXN_5019,ACC_121,DEV_HASH_044,103.235.160.170,0,0.09171068420169798
TXN_5020,ACC_244,DEV_HASH_002,103.92.57.45,1,0.8324339156783815
TXN_5021,ACC_140,DEV_HASH_047,103.14.213.19,0,0.16373903276487187
TXN_5022,ACC_172,DEV_HASH_027,103.115.188.99,0,0.09464091017902393
TXN_5023,ACC_278,DEV_HASH_002,103.122.41.191,1,0.7501852969942757
TXN_5024,ACC_167,DEV_HASH_033,103.181.67.112,0,0.215723044578444
TXN_5025,ACC_265,DEV_HASH_039,103.195.53.137,0,0.13096081206468282
TXN_5026,ACC_235,DEV_HASH_003,103.103.229.230,0,0.08696657277405805
TXN_5027,ACC_217,DEV_HASH_045,103.227.158.56,0,0.22126527537472235
TXN_5028,ACC_183,DEV_HASH_001,103.80.24.249,1,0.7474966760198875
TXN_5029,ACC_221,DEV_HASH_002,103.65.227.83,1,0.9471405320522788
TXN_5030,ACC_143,DEV_HASH_047,103.114.213.34,0,0.17152141416499347
TXN_5031,ACC_127,DEV_HASH_035,103.233.217.216,0,0.16394588311555944
TXN_5032,ACC_109,DEV_HASH_001,103.223.56.109,1,0.8839927936642915
TXN_5033,ACC_297,DEV_HASH_011,103.3.12.87,0,0.17223801200628758
TXN_5034,ACC_190,DEV_HASH_043,103.30.232.240,0,0.08724128337308396
TXN_5035,ACC_149,DEV_HASH_004,103.79.224.123,1,0.8476288557172872
TXN_5036,ACC_119,DEV_HASH_018,103.200.61.221,0,0.1318436156882919
TXN_5037,ACC_230,DEV_HASH_005,103.191.94.77,1,0.7833995497376613
TXN_5038,ACC_207,DEV_HASH_048,103.14.25.182,0,0.03315772409572462
TXN_5039,ACC_127,DEV_HASH_043,103.89.53.148,0,0.07670228126453205
TXN_5040,ACC_141,DEV_HASH_041,103.51.170.137,0,0.03742993656969814
TXN_5041,ACC_137,DEV_HASH_005,103.189.168.41,0,0.1515140798538715
TXN_5042,ACC_288,DEV_HASH_026,103.227.108.118,0,0.03167439288077373
TXN_5043,ACC_161,DEV_HASH_023,103.147.194.210,0,0.1618237019149897
TXN_5044,ACC_101,DEV_HASH_013,103.122.113.102,0,0.14702658704461793
TXN_5045,ACC_128,DEV_HASH_047,103.54.87.29,0,0.1749409737903841
TXN_5046,ACC_160,DEV_HASH_049,103.19.124.175,0,0.07708601078849552
TXN_5047,ACC_215,DEV_HASH_039,103.31.198.228,0,0.044658915594878536
TXN_5048,ACC_108,DEV_HASH_030,103.32.78.138,0,0.19441826677230564
TXN_5049,ACC_290,DEV_HASH_034,103.205.37.53,0,0.11491704956276816
TXN_5050,ACC_112,DEV_HASH_027,103.74.24.173,0,0.10421537466572567
