txn_id,ship_id,hs_code,commodity,unit_price,quantity,amount,origin_port
TXN_5000,SHIP_V_1000,382499,Industrial Chemicals,55,239,13145,Singapore
TXN_5001,SHIP_V_1001,530310,Raw Jute,50,1911,95550,Singapore
TXN_5002,SHIP_V_1002,530310,Raw Jute,54,266,14364,Dhaka
TXN_5003,SHIP_V_1003,530310,Raw Jute,57,1257,71649,Southampton
TXN_5004,SHIP_V_1004,851713,Smartphones,42,1627,68334,Southampton
TXN_5005,SHIP_V_1005,382499,Industrial Chemicals,57,112,6384,Southampton
TXN_5006,SHIP_V_1006,382499,Industrial Chemicals,18,1250,22500,Chittagong
TXN_5007,SHIP_V_1007,610910,Ready-made Garments,45,1529,68805,Chittagong
TXN_5008,SHIP_V_1008,382499,Industrial Chemicals,22,648,14256,Dhaka
TXN_5009,SHIP_V_1009,530310,Raw Jute,42,1144,48048,Dhaka
TXN_5010,SHIP_V_1010,851713,Smartphones,39,1662,64818,Singapore
TXN_5011,SHIP_V_1011,851713,Smartphones,17,264,4488,Southampton
TXN_5012,SHIP_V_1012,382499,Industrial Chemicals,1,932,932,Southampton
TXN_5013,SHIP_V_1013,382499,Industrial Chemicals,31,1592,49352,Dhaka
TXN_5014,SHIP_V_1014,851713,Smartphones,40,1150,46000,Southampton
TXN_5015,SHIP_V_1015,382499,Industrial Chemicals,33,539,17787,Port of London
TXN_5016,SHIP_V_1016,530310,Raw Jute,46,1399,64354,Port of London
TXN_5017,SHIP_V_1017,382499,Industrial Chemicals,60,1332,79920,Chittagong
TXN_5018,SHIP_V_1018,530310,Raw Jute,53,1817,96301,Port of London
TXN_5019,SHIP_V_1019,610910,Ready-made Garments,53,121,6413,Southampton
TXN_5020,SHIP_V_1020,851713,Smartphones,4,929,3716,Port of London
TXN_5021,SHIP_V_1021,530310,Raw Jute,45,890,40050,Dhaka
TXN_5022,SHIP_V_1022,610910,Ready-made Garments,50,442,22100,Southampton
TXN_5023,SHIP_V_1023,382499,Industrial Chemicals,1721,364,626444,Singapore
TXN_5024,SHIP_V_1024,382499,Industrial Chemicals,46,172,7912,Dhaka
TXN_5025,SHIP_V_1025,851713,Smartphones,58,489,28362,Chittagong
TXN_5026,SHIP_V_1026,854143,Solar Panels,53,413,21889,Singapore
TXN_5027,SHIP_V_1027,382499,Industrial Chemicals,42,998,41916,Dhaka
TXN_5028,SHIP_V_1028,382499,Industrial Chemicals,2921,300,876300,Dhaka
TXN_5029,SHIP_V_1029,851713,Smartphones,4989,806,4021134,Chittagong
TXN_5030,SHIP_V_1030,854143,Solar Panels,47,596,28012,Port of London
TXN_5031,SHIP_V_1031,530310,Raw Jute,44,1623,71412,Chittagong
