doc_id,swift_msg_id,commodity,unit_price,market_avg,qty,vessel_id,price_deviation
SHIP_V_1898,sdv-id-BTXGVS,Ready-made Garments,1799,8.5,1241,SHIP_V_1898,210.64705882352942
SHIP_V_1959,sdv-id-KXflHB,Smartphones,200,300.0,430,SHIP_V_1959,-0.3333333333333333
SHIP_V_1352,sdv-id-gIShBE,Smartphones,237,300.0,1594,SHIP_V_1352,-0.21
SHIP_V_1003,sdv-id-UBStqt,Raw Jute,902,5.0,1839,SHIP_V_1003,179.4
SHIP_V_1865,sdv-id-FynkmE,Smartphones,437,300.0,1809,SHIP_V_1865,0.45666666666666667
SHIP_V_1945,sdv-id-rWGwWT,Industrial Chemicals,631,50.0,1184,SHIP_V_1945,11.62
SHIP_V_1223,sdv-id-CzpBVg,Smartphones,137,300.0,1206,SHIP_V_1223,-0.5433333333333333
SHIP_V_1631,sdv-id-DkoVul,Industrial Chemicals,638,50.0,1779,SHIP_V_1631,11.76
SHIP_V_1751,sdv-id-rzNwCt,Industrial Chemicals,1373,50.0,1603,SHIP_V_1751,26.46
SHIP_V_1515,sdv-id-IQskgm,Smartphones,570,300.0,890,SHIP_V_1515,0.9
SHIP_V_1562,sdv-id-iHrFSi,Ready-made Garments,185,8.5,1224,SHIP_V_1562,20.764705882352942
SHIP_V_1837,sdv-id-ZYGRxW,Industrial Chemicals,732,50.0,1519,SHIP_V_1837,13.64
SHIP_V_1763,sdv-id-oQZrsO,Solar Panels,272,120.0,1391,SHIP_V_1763,1.2666666666666666
SHIP_V_1799,sdv-id-TrOYsb,Raw Jute,505,5.0,1071,SHIP_V_1799,100.0
SHIP_V_1354,sdv-id-rOxscH,Solar Panels,501,120.0,581,SHIP_V_1354,3.175
SHIP_V_1790,sdv-id-LPnayA,Raw Jute,244,5.0,239,SHIP_V_1790,47.8
SHIP_V_1793,sdv-id-tEIxWz,Solar Panels,903,120.0,405,SHIP_V_1793,6.525
SHIP_V_1308,sdv-id-NBqWwI,Solar Panels,1174,120.0,1849,SHIP_V_1308,8.783333333333333
SHIP_V_1066,sdv-id-MAMYkP,Smartphones,1492,300.0,869,SHIP_V_1066,3.973333333333333
SHIP_V_1732,sdv-id-YGruGT,Ready-made Garments,1364,8.5,1815,SHIP_V_1732,159.47058823529412
SHIP_V_1724,sdv-id-zURVIi,Solar Panels,768,120.0,309,SHIP_V_1724,5.4
SHIP_V_1432,sdv-id-cnCfWz,Smartphones,233,300.0,1627,SHIP_V_1432,-0.22333333333333333
SHIP_V_1456,sdv-id-vkCnEy,Ready-made Garments,778,8.5,240,SHIP_V_1456,90.52941176470588
SHIP_V_1030,sdv-id-xOkEKz,Smartphones,882,300.0,1666,SHIP_V_1030,1.94
SHIP_V_1465,sdv-id-McJTYT,Smartphones,167,300.0,760,SHIP_V_1465,-0.44333333333333336
SHIP_V_1983,sdv-id-yzgBur,Ready-made Garments,152,8.5,503,SHIP_V_1983,16.88235294117647
SHIP_V_1586,sdv-id-KBSugE,Raw Jute,878,5.0,1641,SHIP_V_1586,174.6
SHIP_V_1651,sdv-id-EYzZUF,Ready-made Garments,80,8.5,1817,SHIP_V_1651,8.411764705882353
SHIP_V_1419,sdv-id-sMDAlO,Ready-made Garments,326,8.5,1321,SHIP_V_1419,37.35294117647059
SHIP_V_1448,sdv-id-shubnd,Smartphones,1890,300.0,1424,SHIP_V_1448,5.3
SHIP_V_1060,sdv-id-eUTRjM,Smartphones,967,300.0,643,SHIP_V_1060,2.223333333333333
SHIP_V_1547,sdv-id-wIaixJ,Ready-made Garments,1040,8.5,632,SHIP_V_1547,121.3529411764706
SHIP_V_1061,sdv-id-SsYgDd,Solar Panels,1085,120.0,832,SHIP_V_1061,8.041666666666666
SHIP_V_1791,sdv-id-OpCkDZ,Raw Jute,195,5.0,1354,SHIP_V_1791,38.0
SHIP_V_1252,sdv-id-IFnOCh,Smartphones,2640,300.0,1198,SHIP_V_1252,7.8
SHIP_V_1479,sdv-id-gdQFkv,Solar Panels,474,120.0,1680,SHIP_V_1479,2.95
SHIP_V_1354,sdv-id-eQNtcD,Solar Panels,1187,120.0,1499,SHIP_V_1354,8.891666666666667
SHIP_V_1762,sdv-id-ruMorw,Ready-made Garments,552,8.5,587,SHIP_V_1762,63.94117647058823
SHIP_V_1457,sdv-id-FXVpKJ,Smartphones,8,300.0,126,SHIP_V_1457,-0.9733333333333334
SHIP_V_1268,sdv-id-KUosHA,Raw Jute,898,5.0,1551,SHIP_V_1268,178.6
SHIP_V_1225,sdv-id-hURNiv,Smartphones,555,300.0,1276,SHIP_V_1225,0.85
SHIP_V_1954,sdv-id-REszsP,Industrial Chemicals,739,50.0,1635,SHIP_V_1954,13.78
SHIP_V_1959,sdv-id-EFAxze,Industrial Chemicals,462,50.0,656,SHIP_V_1959,8.24
SHIP_V_1685,sdv-id-OOGobd,Smartphones,589,300.0,273,SHIP_V_1685,0.9633333333333334
SHIP_V_1761,sdv-id-HeTMWP,Solar Panels,1216,120.0,1703,SHIP_V_1761,9.133333333333333
