doc_id,swift_msg_id,commodity,unit_price,market_avg,qty,vessel_id,price_deviation,declared_weight_kg,actual_weight_kg,ais_status,port_log_status,weight_gap_score,device_entropy
SHIP_V_1898,sdv-id-BTXGVS,Ready-made Garments,1799,8.5,1241,GHOST_VESSEL_00,210.64705882352945,12410.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1959,sdv-id-KXflHB,Smartphones,200,300.0,430,SHIP_V_1959,-0.3333333333333333,4300.0,4244.67,Active,Verified,0.0129,0.219316956777445
SHIP_V_1352,sdv-id-gIShBE,Smartphones,237,300.0,1594,SHIP_V_1352,-0.21,15940.0,15734.91,Active,Verified,0.0129,0.10721777520337084
SHIP_V_1003,sdv-id-UBStqt,Raw Jute,902,5.0,1839,GHOST_VESSEL_00,179.4,18390.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1865,sdv-id-FynkmE,Smartphones,437,300.0,1809,SHIP_V_1865,0.4566666666666666,18090.0,17857.24,Active,Verified,0.0129,0.17592478039547835
SHIP_V_1945,sdv-id-rWGwWT,Industrial Chemicals,631,50.0,1184,SHIP_V_1945,11.62,11840.0,11687.66,Active,Verified,0.0129,0.23484134022014416
SHIP_V_1223,sdv-id-CzpBVg,Smartphones,137,300.0,1206,SHIP_V_1223,-0.5433333333333333,12060.0,11904.83,Active,Verified,0.0129,0.20773892893215037
SHIP_V_1631,sdv-id-DkoVul,Industrial Chemicals,638,50.0,1779,SHIP_V_1631,11.76,17790.0,17561.1,Active,Verified,0.0129,0.2567263062678458
SHIP_V_1751,sdv-id-rzNwCt,Industrial Chemicals,1373,50.0,1603,SHIP_V_1751,26.46,16030.0,15823.75,Active,Verified,0.0129,0.23002164791553661
SHIP_V_1515,sdv-id-IQskgm,Smartphones,570,300.0,890,SHIP_V_1515,0.9,8900.0,8785.49,Active,Verified,0.0129,0.1862932466598067
SHIP_V_1562,sdv-id-iHrFSi,Ready-made Garments,185,8.5,1224,SHIP_V_1562,20.764705882352946,12240.0,12082.51,Active,Verified,0.0129,0.1777190017549846
SHIP_V_1837,sdv-id-ZYGRxW,Industrial Chemicals,732,50.0,1519,SHIP_V_1837,13.64,15190.0,14994.56,Active,Verified,0.0129,0.12319997112707932
SHIP_V_1763,sdv-id-oQZrsO,Solar Panels,272,120.0,1391,SHIP_V_1763,1.2666666666666666,13910.0,13731.03,Active,Verified,0.0129,0.23752294870490878
SHIP_V_1799,sdv-id-TrOYsb,Raw Jute,505,5.0,1071,GHOST_VESSEL_00,100.0,10710.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1354,sdv-id-rOxscH,Solar Panels,501,120.0,581,SHIP_V_1354,3.175,5810.0,5735.25,Active,Verified,0.0129,0.12191972074214229
SHIP_V_1790,sdv-id-LPnayA,Raw Jute,244,5.0,239,SHIP_V_1790,47.8,2390.0,2359.25,Active,Verified,0.0129,0.26084306614497393
SHIP_V_1793,sdv-id-tEIxWz,Solar Panels,903,120.0,405,SHIP_V_1793,6.525,4050.0,3997.89,Active,Verified,0.0129,0.27408855827655265
SHIP_V_1308,sdv-id-NBqWwI,Solar Panels,1174,120.0,1849,SHIP_V_1308,8.783333333333333,18490.0,18252.1,Active,Verified,0.0129,0.13013824550386452
SHIP_V_1066,sdv-id-MAMYkP,Smartphones,1492,300.0,869,SHIP_V_1066,3.973333333333333,8690.0,8578.19,Active,Verified,0.0129,0.22819584691211123
SHIP_V_1732,sdv-id-YGruGT,Ready-made Garments,1364,8.5,1815,GHOST_VESSEL_00,159.47058823529412,18150.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1724,sdv-id-zURVIi,Solar Panels,768,120.0,309,SHIP_V_1724,5.4,3090.0,3050.24,Active,Verified,0.0129,0.22703214063080052
SHIP_V_1432,sdv-id-cnCfWz,Smartphones,233,300.0,1627,SHIP_V_1432,-0.2233333333333333,16270.0,16060.66,Active,Verified,0.0129,0.10620493833370265
SHIP_V_1456,sdv-id-vkCnEy,Ready-made Garments,778,8.5,240,GHOST_VESSEL_00,90.52941176470588,2400.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1030,sdv-id-xOkEKz,Smartphones,882,300.0,1666,SHIP_V_1030,1.94,16660.0,16445.64,Active,Verified,0.0129,0.21678155393668994
SHIP_V_1465,sdv-id-McJTYT,Smartphones,167,300.0,760,SHIP_V_1465,-0.4433333333333333,7600.0,7502.21,Active,Verified,0.0129,0.11078012617947385
SHIP_V_1983,sdv-id-yzgBur,Ready-made Garments,152,8.5,503,SHIP_V_1983,16.88235294117647,5030.0,4965.28,Active,Verified,0.0129,0.20445782135819926
SHIP_V_1586,sdv-id-KBSugE,Raw Jute,878,5.0,1641,GHOST_VESSEL_00,174.6,16410.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1651,sdv-id-EYzZUF,Ready-made Garments,80,8.5,1817,SHIP_V_1651,8.411764705882353,18170.0,17936.21,Active,Verified,0.0129,0.13893482251691605
SHIP_V_1419,sdv-id-sMDAlO,Ready-made Garments,326,8.5,1321,SHIP_V_1419,37.35294117647059,13210.0,13040.03,Active,Verified,0.0129,0.12642890808342172
SHIP_V_1448,sdv-id-shubnd,Smartphones,1890,300.0,1424,SHIP_V_1448,5.3,14240.0,14056.78,Active,Verified,0.0129,0.15806212427564983
SHIP_V_1060,sdv-id-eUTRjM,Smartphones,967,300.0,643,SHIP_V_1060,2.223333333333333,6430.0,6347.27,Active,Verified,0.0129,0.1311197026476165
SHIP_V_1547,sdv-id-wIaixJ,Ready-made Garments,1040,8.5,632,GHOST_VESSEL_00,121.3529411764706,6320.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1061,sdv-id-SsYgDd,Solar Panels,1085,120.0,832,SHIP_V_1061,8.041666666666666,8320.0,8212.95,Active,Verified,0.0129,0.20731576570664076
SHIP_V_1791,sdv-id-OpCkDZ,Raw Jute,195,5.0,1354,SHIP_V_1791,38.0,13540.0,13365.79,Active,Verified,0.0129,0.15508161967395226
SHIP_V_1252,sdv-id-IFnOCh,Smartphones,2640,300.0,1198,SHIP_V_1252,7.8,11980.0,11825.86,Active,Verified,0.0129,0.1968541300074197
SHIP_V_1479,sdv-id-gdQFkv,Solar Panels,474,120.0,1680,SHIP_V_1479,2.95,16800.0,16583.84,Active,Verified,0.0129,0.10131934291714156
SHIP_V_1354,sdv-id-eQNtcD,Solar Panels,1187,120.0,1499,SHIP_V_1354,8.891666666666667,14990.0,14797.13,Active,Verified,0.0129,0.27368116110880764
SHIP_V_1762,sdv-id-ruMorw,Ready-made Garments,552,8.5,587,GHOST_VESSEL_00,63.94117647058823,5870.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1457,sdv-id-FXVpKJ,Smartphones,8,300.0,126,SHIP_V_1457,-0.9733333333333334,1260.0,1243.79,Active,Verified,0.0129,0.27857798175605597
SHIP_V_1268,sdv-id-KUosHA,Raw Jute,898,5.0,1551,GHOST_VESSEL_00,178.6,15510.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1225,sdv-id-hURNiv,Smartphones,555,300.0,1276,SHIP_V_1225,0.85,12760.0,12595.82,Active,Verified,0.0129,0.12838683706871942
SHIP_V_1954,sdv-id-REszsP,Industrial Chemicals,739,50.0,1635,SHIP_V_1954,13.78,16350.0,16139.63,Active,Verified,0.0129,0.16213065001853502
SHIP_V_1959,sdv-id-EFAxze,Industrial Chemicals,462,50.0,656,SHIP_V_1959,8.24,6560.0,6475.6,Active,Verified,0.0129,0.2759234477178258
SHIP_V_1685,sdv-id-OOGobd,Smartphones,589,300.0,273,SHIP_V_1685,0.9633333333333334,2730.0,2694.87,Active,Verified,0.0129,0.1349296279522388
SHIP_V_1761,sdv-id-HeTMWP,Solar Panels,1216,120.0,1703,SHIP_V_1761,9.133333333333333,17030.0,16810.88,Active,Verified,0.0129,0.15878402493535593
SHIP_V_1042,sdv-id-FpZngq,Raw Jute,49,5.0,1016,SHIP_V_1042,8.8,10160.0,10029.28,Active,Verified,0.0129,0.27569049044816146
SHIP_V_1971,sdv-id-HjpTLb,Raw Jute,605,5.0,1967,GHOST_VESSEL_00,120.0,19670.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1495,sdv-id-HZeDXj,Smartphones,1472,300.0,285,SHIP_V_1495,3.9066666666666663,2850.0,2813.33,Active,Verified,0.0129,0.24145565445027758
SHIP_V_1201,sdv-id-rQAkkY,Raw Jute,1177,5.0,1719,GHOST_VESSEL_00,234.4,17190.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1600,sdv-id-SNQnAK,Smartphones,1340,300.0,1148,SHIP_V_1600,3.466666666666667,11480.0,11332.29,Active,Verified,0.0129,0.2641323644751693
SHIP_V_1655,sdv-id-dmfxDU,Raw Jute,240,5.0,1729,SHIP_V_1655,47.0,17290.0,17067.54,Active,Verified,0.0129,0.1444970885155116
SHIP_V_1533,sdv-id-dmXxpQ,Raw Jute,1284,5.0,1483,GHOST_VESSEL_00,255.8,14830.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1873,sdv-id-mxSIdC,Ready-made Garments,234,8.5,1453,SHIP_V_1873,26.529411764705884,14530.0,14343.05,Active,Verified,0.0129,0.1537457088691958
SHIP_V_1154,sdv-id-qJanDs,Solar Panels,361,120.0,509,SHIP_V_1154,2.0083333333333333,5090.0,5024.51,Active,Verified,0.0129,0.28495353137187307
SHIP_V_1641,sdv-id-TorXZQ,Solar Panels,55,120.0,253,SHIP_V_1641,-0.5416666666666666,2530.0,2497.45,Active,Verified,0.0129,0.17934841739563653
SHIP_V_1025,sdv-id-KysrEl,Raw Jute,488,5.0,849,GHOST_VESSEL_00,96.6,8490.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1461,sdv-id-OCNvwJ,Ready-made Garments,345,8.5,1985,SHIP_V_1461,39.588235294117645,19850.0,19594.6,Active,Verified,0.0129,0.2291699972683825
SHIP_V_1132,sdv-id-pqspiD,Ready-made Garments,56,8.5,394,SHIP_V_1132,5.588235294117647,3940.0,3889.31,Active,Verified,0.0129,0.2699447328497886
SHIP_V_1136,sdv-id-ubKfSm,Smartphones,1239,300.0,199,SHIP_V_1136,3.13,1990.0,1964.4,Active,Verified,0.0129,0.1374021339239619
SHIP_V_1262,sdv-id-amFXoH,Industrial Chemicals,1415,50.0,1492,SHIP_V_1262,27.3,14920.0,14728.03,Active,Verified,0.0129,0.142598833626012
SHIP_V_1833,sdv-id-bXlvbH,Raw Jute,915,5.0,888,GHOST_VESSEL_00,182.0,8880.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1212,sdv-id-HBbeTd,Solar Panels,631,120.0,721,SHIP_V_1212,4.258333333333334,7210.0,7117.23,Active,Verified,0.0129,0.139846946586552
SHIP_V_1523,sdv-id-IKKlFj,Raw Jute,353,5.0,1861,GHOST_VESSEL_00,69.6,18610.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1354,sdv-id-xbXjVM,Solar Panels,1982,120.0,1497,SHIP_V_1354,15.516666666666667,14970.0,14777.39,Active,Verified,0.0129,0.1474944335756409
SHIP_V_1726,sdv-id-gQVsAo,Industrial Chemicals,250,50.0,1153,SHIP_V_1726,4.0,11530.0,11381.65,Active,Verified,0.0129,0.1532397312291955
SHIP_V_1738,sdv-id-sAnukt,Smartphones,153,300.0,912,SHIP_V_1738,-0.49,9120.0,9002.66,Active,Verified,0.0129,0.16837605142202838
SHIP_V_1150,sdv-id-PsYFxp,Solar Panels,365,120.0,1841,SHIP_V_1150,2.0416666666666665,18410.0,18173.13,Active,Verified,0.0129,0.1314613885647508
SHIP_V_1737,sdv-id-rTRGvq,Smartphones,422,300.0,1125,SHIP_V_1737,0.4066666666666667,11250.0,11105.25,Active,Verified,0.0129,0.17417945594070303
SHIP_V_1062,sdv-id-yfvMVs,Solar Panels,224,120.0,1971,SHIP_V_1062,0.8666666666666667,19710.0,19456.4,Active,Verified,0.0129,0.24699037428136963
SHIP_V_1187,sdv-id-SseGwh,Smartphones,290,300.0,1712,SHIP_V_1187,-0.0333333333333333,17120.0,16899.72,Active,Verified,0.0129,0.22857477872740928
SHIP_V_1758,sdv-id-uRERjQ,Industrial Chemicals,1956,50.0,1843,SHIP_V_1758,38.12,18430.0,18192.87,Active,Verified,0.0129,0.19781488074965103
SHIP_V_1499,sdv-id-hUJRaa,Industrial Chemicals,117,50.0,645,SHIP_V_1499,1.34,6450.0,6367.01,Active,Verified,0.0129,0.12447037724743466
SHIP_V_1222,sdv-id-UDXzuD,Industrial Chemicals,801,50.0,1839,SHIP_V_1222,15.02,18390.0,18153.38,Active,Verified,0.0129,0.17307511677028625
SHIP_V_1097,sdv-id-InBqfh,Smartphones,1746,300.0,331,SHIP_V_1097,4.82,3310.0,3267.41,Active,Verified,0.0129,0.243916093935631
SHIP_V_1186,sdv-id-lAJvkL,Industrial Chemicals,746,50.0,389,SHIP_V_1186,13.92,3890.0,3839.95,Active,Verified,0.0129,0.1268896226746248
SHIP_V_1138,sdv-id-lBKKsE,Raw Jute,923,5.0,442,GHOST_VESSEL_00,183.6,4420.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1857,sdv-id-DRrxMg,Raw Jute,193,5.0,532,SHIP_V_1857,37.6,5320.0,5251.55,Active,Verified,0.0129,0.2678278016225753
SHIP_V_1314,sdv-id-HnSxBC,Smartphones,225,300.0,1770,SHIP_V_1314,-0.25,17700.0,17472.26,Active,Verified,0.0129,0.11250493664293137
SHIP_V_1598,sdv-id-RniEPm,Raw Jute,776,5.0,538,GHOST_VESSEL_00,154.2,5380.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1031,sdv-id-aObYgo,Raw Jute,845,5.0,1641,GHOST_VESSEL_00,168.0,16410.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1579,sdv-id-HikLaz,Ready-made Garments,149,8.5,1044,SHIP_V_1579,16.529411764705884,10440.0,10305.67,Active,Verified,0.0129,0.14078820642315376
SHIP_V_1823,sdv-id-Iacicj,Solar Panels,41,120.0,916,SHIP_V_1823,-0.6583333333333333,9160.0,9042.14,Active,Verified,0.0129,0.15682727116635586
SHIP_V_1932,sdv-id-DZgSFn,Raw Jute,873,5.0,723,GHOST_VESSEL_00,173.6,7230.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1108,sdv-id-wIfcYA,Ready-made Garments,426,8.5,850,SHIP_V_1108,49.11764705882353,8500.0,8390.63,Active,Verified,0.0129,0.19718888437553916
SHIP_V_1134,sdv-id-lwUoFa,Solar Panels,289,120.0,1052,SHIP_V_1134,1.4083333333333334,10520.0,10384.64,Active,Verified,0.0129,0.22434733020869502
SHIP_V_1111,sdv-id-mCQaoC,Smartphones,1389,300.0,510,SHIP_V_1111,3.63,5100.0,5034.38,Active,Verified,0.0129,0.12200067832711062
SHIP_V_1680,sdv-id-JFDLhg,Ready-made Garments,459,8.5,1054,GHOST_VESSEL_00,53.0,10540.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1593,sdv-id-Dhluin,Ready-made Garments,369,8.5,963,SHIP_V_1593,42.411764705882355,9630.0,9506.1,Active,Verified,0.0129,0.12128279920602694
SHIP_V_1720,sdv-id-zMTXyT,Industrial Chemicals,401,50.0,1409,SHIP_V_1720,7.02,14090.0,13908.71,Active,Verified,0.0129,0.18347763319992866
SHIP_V_1590,sdv-id-NlZxRy,Industrial Chemicals,1957,50.0,455,SHIP_V_1590,38.14,4550.0,4491.46,Active,Verified,0.0129,0.16082696990723946
SHIP_V_1677,sdv-id-gOijaV,Smartphones,368,300.0,1840,SHIP_V_1677,0.2266666666666666,18400.0,18163.26,Active,Verified,0.0129,0.2665691400107588
SHIP_V_1925,sdv-id-FfFJxB,Smartphones,500,300.0,392,SHIP_V_1925,0.6666666666666666,3920.0,3869.56,Active,Verified,0.0129,0.17228350214995275
SHIP_V_1731,sdv-id-bOffcQ,Industrial Chemicals,145,50.0,849,SHIP_V_1731,1.9,8490.0,8380.76,Active,Verified,0.0129,0.10939716414280859
SHIP_V_1496,sdv-id-UqAnqW,Smartphones,1772,300.0,782,SHIP_V_1496,4.906666666666666,7820.0,7719.38,Active,Verified,0.0129,0.292880967983615
SHIP_V_1183,sdv-id-DfnKUN,Solar Panels,1190,120.0,1226,SHIP_V_1183,8.916666666666666,12260.0,12102.26,Active,Verified,0.0129,0.18289173715467738
SHIP_V_1020,sdv-id-pQQFwK,Solar Panels,518,120.0,1913,SHIP_V_1020,3.316666666666667,19130.0,18883.86,Active,Verified,0.0129,0.15095004222168681
SHIP_V_1348,sdv-id-QpFQsv,Raw Jute,618,5.0,1251,GHOST_VESSEL_00,122.6,12510.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1574,sdv-id-QyFifJ,Raw Jute,475,5.0,1796,GHOST_VESSEL_00,94.0,17960.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1125,sdv-id-VHdBHo,Ready-made Garments,795,8.5,164,GHOST_VESSEL_00,92.52941176470588,1640.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1100,sdv-id-SZfDkS,Ready-made Garments,719,8.5,1292,GHOST_VESSEL_00,83.58823529411765,12920.0,0.0,Disconnected,No_Record,1.0,0.9080822746375261
SHIP_V_1168,sdv-id-AySGol,Industrial Chemicals,1129,50.0,601,SHIP_V_1168,21.58,6010.0,5932.67,Active,Verified,0.0129,0.2109132985982252
