txn_id,account_id,bank_id,amount,currency,timestamp,is_dormant_flag,ship_id,hs_code,commodity,unit_price,quantity,origin_port,device_id_hash,ip_address,proxy_vpn_flag,login_entropy_score,label,fraud_type
TXN_5000,ACC_268,BANK_UK_02,13145,USD,2026-03-28 11:14:00,0,SHIP_V_1000,382499,Industrial Chemicals,55,239,Singapore,DEV_HASH_017,103.224.106.126,0,0.01031361828725057,0,NORMAL
TXN_5001,ACC_140,BANK_BD_01,95550,USD,2026-03-08 22:22:00,0,SHIP_V_1001,530310,Raw Jute,50,1911,Singapore,DEV_HASH_038,103.20.209.232,0,0.0924928341011018,0,NORMAL
TXN_5002,ACC_106,BANK_BD_02,14364,USD,2026-03-04 09:12:00,0,SHIP_V_1002,530310,Raw Jute,54,266,Dhaka,DEV_HASH_046,103.216.138.59,0,0.15183947014722318,0,NORMAL
TXN_5003,ACC_225,BANK_BD_02,71649,USD,2026-03-29 11:36:00,0,SHIP_V_1003,530310,Raw Jute,57,1257,Southampton,DEV_HASH_040,103.36.167.218,0,0.08551257075595965,0,NORMAL
TXN_5004,ACC_155,BANK_UK_02,68334,USD,2026-03-03 05:40:00,0,SHIP_V_1004,851713,Smartphones,42,1627,Southampton,DEV_HASH_046,103.175.177.213,0,0.2416520450115627,0,NORMAL
TXN_5005,ACC_149,BANK_UK_02,6384,USD,2026-03-09 16:56:00,0,SHIP_V_1005,382499,Industrial Chemicals,57,112,Southampton,DEV_HASH_025,103.68.33.149,0,0.08466099256665272,0,NORMAL
TXN_5006,ACC_176,BANK_BD_02,22500,USD,2026-03-02 11:54:00,0,SHIP_V_1006,382499,Industrial Chemicals,18,1250,Chittagong,DEV_HASH_042,103.170.169.250,0,0.23214309166464298,0,NORMAL
TXN_5007,ACC_157,BANK_BD_02,68805,USD,2026-03-22 20:22:00,0,SHIP_V_1007,610910,Ready-made Garments,45,1529,Chittagong,DEV_HASH_009,103.65.53.178,0,0.07713652381498946,0,NORMAL
TXN_5008,ACC_117,BANK_BD_02,14256,USD,2026-03-12 15:23:00,0,SHIP_V_1008,382499,Industrial Chemicals,22,648,Dhaka,DEV_HASH_009,103.4.147.158,0,0.035770472602684344,0,NORMAL
TXN_5009,ACC_142,BANK_BD_02,48048,USD,2026-01-28 12:25:00,0,SHIP_V_1009,530310,Raw Jute,42,1144,Dhaka,DEV_HASH_036,103.232.15.196,0,0.17079765871831715,0,NORMAL
TXN_5010,ACC_177,BANK_BD_01,64818,USD,2026-01-28 00:28:00,0,SHIP_V_1010,851713,Smartphones,39,1662,Singapore,DEV_HASH_011,103.80.178.43,0,0.06078242794214944,0,NORMAL
TXN_5011,ACC_129,BANK_BD_02,4488,USD,2026-01-04 06:21:00,0,SHIP_V_1011,851713,Smartphones,17,264,Southampton,DEV_HASH_037,103.93.80.150,0,0.048090122728667015,0,NORMAL
TXN_5012,ACC_264,BANK_UK_02,932,USD,2026-03-20 03:35:00,1,SHIP_V_1012,382499,Industrial Chemicals,1,932,Southampton,DEV_HASH_005,103.70.222.231,1,0.879460925099217,1,UNDER_INVOICING
TXN_5013,ACC_264,BANK_UK_01,49352,USD,2026-01-08 15:11:00,0,SHIP_V_1013,382499,Industrial Chemicals,31,1592,Dhaka,DEV_HASH_025,103.92.104.17,0,0.046277918217453626,0,NORMAL
TXN_5014,ACC_133,BANK_UK_01,46000,USD,2026-03-28 01:03:00,0,SHIP_V_1014,851713,Smartphones,40,1150,Southampton,DEV_HASH_040,103.182.137.28,0,0.21404999504375813,0,NORMAL
TXN_5015,ACC_277,BANK_BD_02,17787,USD,2026-03-23 12:22:00,0,SHIP_V_1015,382499,Industrial Chemicals,33,539,Port of London,DEV_HASH_025,103.152.174.82,0,0.03237099944246165,0,NORMAL
TXN_5016,ACC_158,BANK_UK_02,64354,USD,2026-03-17 02:14:00,0,SHIP_V_1016,530310,Raw Jute,46,1399,Port of London,DEV_HASH_022,103.88.147.13,0,0.12626520045546777,0,NORMAL
TXN_5017,ACC_240,BANK_UK_02,79920,USD,2026-02-26 02:38:00,0,SHIP_V_1017,382499,Industrial Chemicals,60,1332,Chittagong,DEV_HASH_046,103.68.222.41,0,0.13079011421875736,0,NORMAL
TXN_5018,ACC_259,BANK_UK_01,96301,USD,2026-01-28 16:45:00,0,SHIP_V_1018,530310,Raw Jute,53,1817,Port of London,DEV_HASH_010,103.225.102.140,0,0.2070325948175427,0,NORMAL
TXN_5019,ACC_121,BANK_BD_01,6413,USD,2026-01-05 07:44:00,0,SHIP_V_1019,610910,Ready-made Garments,53,121,Southampton,DEV_HASH_044,103.235.160.170,0,0.09171068420169798,0,NORMAL
TXN_5020,ACC_244,BANK_BD_01,3716,USD,2026-03-24 02:55:00,1,SHIP_V_1020,851713,Smartphones,4,929,Port of London,DEV_HASH_002,103.92.57.45,1,0.8324339156783815,1,UNDER_INVOICING
TXN_5021,ACC_140,BANK_BD_01,40050,USD,2026-03-29 18:55:00,0,SHIP_V_1021,530310,Raw Jute,45,890,Dhaka,DEV_HASH_047,103.14.213.19,0,0.16373903276487187,0,NORMAL
TXN_5022,ACC_172,BANK_UK_01,22100,USD,2026-03-30 22:31:00,0,SHIP_V_1022,610910,Ready-made Garments,50,442,Southampton,DEV_HASH_027,103.115.188.99,0,0.09464091017902393,0,NORMAL
TXN_5023,ACC_278,BANK_UK_01,626444,USD,2026-03-12 01:05:00,1,SHIP_V_1023,382499,Industrial Chemicals,1721,364,Singapore,DEV_HASH_002,103.122.41.191,1,0.7501852969942757,1,DEVICE_SHARING
TXN_5024,ACC_167,BANK_UK_01,7912,USD,2026-03-07 22:06:00,0,SHIP_V_1024,382499,Industrial Chemicals,46,172,Dhaka,DEV_HASH_033,103.181.67.112,0,0.215723044578444,0,NORMAL
TXN_5025,ACC_265,BANK_BD_01,28362,USD,2026-02-18 12:23:00,0,SHIP_V_1025,851713,Smartphones,58,489,Chittagong,DEV_HASH_039,103.195.53.137,0,0.13096081206468282,0,NORMAL
TXN_5026,ACC_235,BANK_BD_02,21889,USD,2026-01-04 00:31:00,0,SHIP_V_1026,854143,Solar Panels,53,413,Singapore,DEV_HASH_003,103.103.229.230,0,0.08696657277405805,0,NORMAL
TXN_5027,ACC_217,BANK_BD_01,41916,USD,2026-01-08 10:34:00,0,SHIP_V_1027,382499,Industrial Chemicals,42,998,Dhaka,DEV_HASH_045,103.227.158.56,0,0.22126527537472235,0,NORMAL
TXN_5028,ACC_183,BANK_BD_02,876300,USD,2026-01-31 04:47:00,1,SHIP_V_1028,382499,Industrial Chemicals,2921,300,Dhaka,DEV_HASH_001,103.80.24.249,1,0.7474966760198875,1,DEVICE_SHARING
TXN_5029,ACC_221,BANK_UK_01,4021134,USD,2026-03-25 06:06:00,1,SHIP_V_1029,851713,Smartphones,4989,806,Chittagong,DEV_HASH_002,103.65.227.83,1,0.9471405320522788,1,OVER_INVOICING
TXN_5030,ACC_143,BANK_BD_02,28012,USD,2026-03-17 23:38:00,0,SHIP_V_1030,854143,Solar Panels,47,596,Port of London,DEV_HASH_047,103.114.213.34,0,0.17152141416499347,0,NORMAL
TXN_5031,ACC_127,BANK_BD_01,71412,USD,2026-02-07 03:52:00,0,SHIP_V_1031,530310,Raw Jute,44,1623,Chittagong,DEV_HASH_035,103.233.217.216,0,0.16394588311555944,0,NORMAL
TXN_5032,ACC_109,BANK_UK_01,1318445,USD,2026-01-02 21:05:00,1,SHIP_V_1032,851713,Smartphones,2885,457,Dhaka,DEV_HASH_001,103.223.56.109,1,0.8839927936642915,1,DEVICE_SHARING
TXN_5033,ACC_297,BANK_UK_01,13035,USD,2026-03-22 08:20:00,0,SHIP_V_1033,382499,Industrial Chemicals,55,237,Singapore,DEV_HASH_011,103.3.12.87,0,0.17223801200628758,0,NORMAL
TXN_5034,ACC_190,BANK_BD_01,5512,USD,2026-01-09 22:51:00,0,SHIP_V_1034,854143,Solar Panels,52,106,Southampton,DEV_HASH_043,103.30.232.240,0,0.08724128337308396,0,NORMAL
TXN_5035,ACC_149,BANK_BD_02,2908,USD,2026-01-07 11:57:00,1,SHIP_V_1035,851713,Smartphones,2,1454,Southampton,DEV_HASH_004,103.79.224.123,1,0.8476288557172872,1,UNDER_INVOICING
TXN_5036,ACC_119,BANK_BD_02,74640,USD,2026-02-06 16:01:00,0,SHIP_V_1036,851713,Smartphones,60,1244,Southampton,DEV_HASH_018,103.200.61.221,0,0.1318436156882919,0,NORMAL
TXN_5037,ACC_230,BANK_BD_02,1969,USD,2026-03-28 14:19:00,1,SHIP_V_1037,382499,Industrial Chemicals,1,1969,Singapore,DEV_HASH_005,103.191.94.77,1,0.7833995497376613,1,UNDER_INVOICING
TXN_5038,ACC_207,BANK_BD_01,26638,USD,2026-02-10 13:35:00,0,SHIP_V_1038,610910,Ready-made Garments,19,1402,Chittagong,DEV_HASH_048,103.14.25.182,0,0.03315772409572462,0,NORMAL
TXN_5039,ACC_127,BANK_BD_02,94424,USD,2026-01-22 18:35:00,0,SHIP_V_1039,610910,Ready-made Garments,58,1628,Southampton,DEV_HASH_043,103.89.53.148,0,0.07670228126453205,0,NORMAL
TXN_5040,ACC_141,BANK_UK_02,17472,USD,2026-01-02 04:35:00,0,SHIP_V_1040,851713,Smartphones,16,1092,Southampton,DEV_HASH_041,103.51.170.137,0,0.03742993656969814,0,NORMAL
TXN_5041,ACC_137,BANK_UK_01,87165,USD,2026-02-18 14:59:00,0,SHIP_V_1041,610910,Ready-made Garments,45,1937,Port of London,DEV_HASH_005,103.189.168.41,0,0.1515140798538715,0,NORMAL
TXN_5042,ACC_288,BANK_BD_02,47250,USD,2026-01-18 17:27:00,0,SHIP_V_1042,610910,Ready-made Garments,30,1575,Dhaka,DEV_HASH_026,103.227.108.118,0,0.03167439288077373,0,NORMAL
TXN_5043,ACC_161,BANK_UK_02,23688,USD,2026-03-25 15:10:00,0,SHIP_V_1043,854143,Solar Panels,28,846,Chittagong,DEV_HASH_023,103.147.194.210,0,0.1618237019149897,0,NORMAL
TXN_5044,ACC_101,BANK_BD_01,56304,USD,2026-02-04 09:09:00,0,SHIP_V_1044,610910,Ready-made Garments,48,1173,Port of London,DEV_HASH_013,103.122.113.102,0,0.14702658704461793,0,NORMAL
TXN_5045,ACC_128,BANK_BD_02,26466,USD,2026-01-07 03:28:00,0,SHIP_V_1045,610910,Ready-made Garments,33,802,Port of London,DEV_HASH_047,103.54.87.29,0,0.1749409737903841,0,NORMAL
TXN_5046,ACC_160,BANK_BD_02,27783,USD,2026-02-25 16:07:00,0,SHIP_V_1046,854143,Solar Panels,21,1323,Southampton,DEV_HASH_049,103.19.124.175,0,0.07708601078849552,0,NORMAL
TXN_5047,ACC_215,BANK_UK_01,56196,USD,2026-02-02 12:26:00,0,SHIP_V_1047,382499,Industrial Chemicals,36,1561,Chittagong,DEV_HASH_039,103.31.198.228,0,0.044658915594878536,0,NORMAL
TXN_5048,ACC_108,BANK_BD_01,17618,USD,2026-01-07 15:53:00,0,SHIP_V_1048,854143,Solar Panels,23,766,Dhaka,DEV_HASH_030,103.32.78.138,0,0.19441826677230564,0,NORMAL
TXN_5049,ACC_290,BANK_BD_02,12210,USD,2026-03-18 22:36:00,0,SHIP_V_1049,382499,Industrial Chemicals,33,370,Port of London,DEV_HASH_034,103.205.37.53,0,0.11491704956276816,0,NORMAL
TXN_5050,ACC_112,BANK_BD_01,13040,USD,2026-01-17 18:33:00,0,SHIP_V_1050,530310,Raw Jute,40,326,Chittagong,DEV_HASH_027,103.74.24.173,0,0.10421537466572567,0,NORMAL
TXN_5051,ACC_198,BANK_UK_02,81066,USD,2026-02-02 08:37:00,0,SHIP_V_1051,610910,Ready-made Garments,59,1374,Singapore,DEV_HASH_003,103.72.42.246,0,0.11483826586746279,0,NORMAL
TXN_5052,ACC_280,BANK_UK_01,19120,USD,2026-04-01 06:34:00,0,SHIP_V_1052,851713,Smartphones,40,478,Dhaka,DEV_HASH_023,103.48.227.23,0,0.04126434770120921,0,NORMAL
TXN_5053,ACC_274,BANK_BD_02,57225,USD,2026-02-22 18:24:00,0,SHIP_V_1053,854143,Solar Panels,35,1635,Chittagong,DEV_HASH_002,103.116.139.180,0,0.1556893999424809,0,NORMAL
TXN_5054,ACC_197,BANK_UK_01,43095,USD,2026-02-12 01:55:00,0,SHIP_V_1054,530310,Raw Jute,39,1105,Port of London,DEV_HASH_005,103.11.20.8,0,0.17427415505009408,0,NORMAL
TXN_5055,ACC_179,BANK_BD_01,43622,USD,2026-01-29 17:47:00,0,SHIP_V_1055,851713,Smartphones,34,1283,Dhaka,DEV_HASH_008,103.128.160.10,0,0.22233613367287774,0,NORMAL
TXN_5056,ACC_151,BANK_UK_01,61280,USD,2026-01-02 18:33:00,0,SHIP_V_1056,610910,Ready-made Garments,32,1915,Dhaka,DEV_HASH_003,103.93.166.65,0,0.23893503641800798,0,NORMAL
TXN_5057,ACC_127,BANK_UK_02,5876,USD,2026-04-01 10:03:00,0,SHIP_V_1057,382499,Industrial Chemicals,52,113,Southampton,DEV_HASH_011,103.159.130.233,0,0.060471507203602164,0,NORMAL
TXN_5058,ACC_132,BANK_UK_01,69135,USD,2026-02-09 12:27:00,0,SHIP_V_1058,530310,Raw Jute,55,1257,Dhaka,DEV_HASH_018,103.29.54.184,0,0.0332613426641991,0,NORMAL
TXN_5059,ACC_249,BANK_BD_02,67770,USD,2026-01-04 13:46:00,0,SHIP_V_1059,382499,Industrial Chemicals,45,1506,Singapore,DEV_HASH_006,103.8.68.235,0,0.19521900447669344,0,NORMAL
TXN_5060,ACC_106,BANK_UK_02,50422,USD,2026-03-30 05:29:00,0,SHIP_V_1060,530310,Raw Jute,34,1483,Dhaka,DEV_HASH_038,103.231.79.240,0,0.012301888599028778,0,NORMAL
TXN_5061,ACC_184,BANK_BD_02,88990,USD,2026-02-16 08:27:00,0,SHIP_V_1061,382499,Industrial Chemicals,55,1618,Singapore,DEV_HASH_025,103.94.119.164,0,0.0448109820510109,0,NORMAL
TXN_5062,ACC_141,BANK_BD_02,26163,USD,2026-02-16 11:59:00,0,SHIP_V_1062,610910,Ready-made Garments,19,1377,Southampton,DEV_HASH_014,103.246.64.71,0,0.1417948618138306,0,NORMAL
TXN_5063,ACC_202,BANK_BD_01,21456,USD,2026-02-07 08:06:00,0,SHIP_V_1063,382499,Industrial Chemicals,16,1341,Chittagong,DEV_HASH_048,103.94.159.99,0,0.16288150984840144,0,NORMAL
TXN_5064,ACC_222,BANK_UK_01,21372,USD,2026-03-05 20:38:00,0,SHIP_V_1064,530310,Raw Jute,39,548,Southampton,DEV_HASH_048,103.213.140.63,0,0.03475035617881178,0,NORMAL
TXN_5065,ACC_131,BANK_UK_02,29600,USD,2026-02-22 00:47:00,0,SHIP_V_1065,610910,Ready-made Garments,32,925,Southampton,DEV_HASH_004,103.210.130.135,0,0.1683400812298076,0,NORMAL
TXN_5066,ACC_281,BANK_BD_01,63250,USD,2026-02-02 18:31:00,0,SHIP_V_1066,610910,Ready-made Garments,55,1150,Chittagong,DEV_HASH_022,103.125.145.237,0,0.11438915470219994,0,NORMAL
TXN_5067,ACC_116,BANK_UK_02,27302,USD,2026-03-12 13:21:00,0,SHIP_V_1067,851713,Smartphones,22,1241,Dhaka,DEV_HASH_041,103.107.142.5,0,0.21455733914108424,0,NORMAL
TXN_5068,ACC_110,BANK_UK_02,27252,USD,2026-02-12 08:35:00,0,SHIP_V_1068,530310,Raw Jute,18,1514,Port of London,DEV_HASH_046,103.178.41.98,0,0.1829237900909507,0,NORMAL
TXN_5069,ACC_185,BANK_UK_02,13800,USD,2026-02-13 20:35:00,0,SHIP_V_1069,610910,Ready-made Garments,30,460,Port of London,DEV_HASH_041,103.240.34.115,0,0.08364166831043157,0,NORMAL
TXN_5070,ACC_151,BANK_UK_02,26946,USD,2026-02-07 02:37:00,0,SHIP_V_1070,610910,Ready-made Garments,27,998,Singapore,DEV_HASH_011,103.35.18.37,0,0.14564551893090338,0,NORMAL
