txn_id,ship_id,hs_code,commodity,unit_price,quantity,amount,origin_port
sdv-id-lejATy,SHIP_V_1685,530310,Industrial Chemicals,1321,874,1154554,Port of London
sdv-id-ZqmraN,SHIP_V_1872,854143,Ready-made Garments,110,674,74140,Port of London
sdv-id-JPhpck,SHIP_V_1768,854143,Solar Panels,762,1706,1299972,Port of London
sdv-id-dIpWjh,SHIP_V_1178,610910,Solar Panels,29,764,22156,Singapore
sdv-id-BTXGVS,SHIP_V_1898,610910,Ready-made Garments,1799,1241,2232559,Singapore
sdv-id-iPGcCh,SHIP_V_1548,382499,Industrial Chemicals,1599,1572,2513628,Southampton
sdv-id-rMRJeX,SHIP_V_1995,851713,Ready-made Garments,294,1804,530376,Singapore
sdv-id-GqboLQ,SHIP_V_1766,851713,Smartphones,401,1147,459947,Chittagong
sdv-id-BCNtAo,SHIP_V_1110,382499,Industrial Chemicals,3194,1051,3356894,Southampton
sdv-id-IsXqUx,SHIP_V_1316,854143,Solar Panels,429,926,397254,Dhaka
sdv-id-IDnzdy,SHIP_V_1893,382499,Raw Jute,911,738,672318,Dhaka
sdv-id-HLraYJ,SHIP_V_1737,851713,Smartphones,677,366,247782,Chittagong
sdv-id-iiCVGP,SHIP_V_1588,530310,Raw Jute,738,516,380808,Chittagong
sdv-id-rLDFzW,SHIP_V_1693,382499,Industrial Chemicals,681,876,596556,Port of London
sdv-id-SEQFSU,SHIP_V_1023,530310,Raw Jute,1439,990,1424610,Chittagong
sdv-id-ViWRNf,SHIP_V_1030,851713,Ready-made Garments,898,629,564842,Southampton
sdv-id-KXflHB,SHIP_V_1959,851713,Smartphones,200,430,86000,Chittagong
sdv-id-jvIcoI,SHIP_V_1793,851713,Raw Jute,830,1036,859880,Port of London
sdv-id-bwuELc,SHIP_V_1050,610910,Smartphones,423,1380,583740,Dhaka
sdv-id-ZYnXss,SHIP_V_1464,530310,Raw Jute,2503,383,958649,Port of London
sdv-id-MxijsA,SHIP_V_1467,854143,Solar Panels,167,361,60287,Port of London
sdv-id-oEdSyl,SHIP_V_1589,851713,Ready-made Garments,1,656,656,Dhaka
sdv-id-gIShBE,SHIP_V_1352,530310,Smartphones,237,1594,377778,Singapore
sdv-id-VjLsNK,SHIP_V_1700,854143,Solar Panels,838,1719,1440522,Dhaka
sdv-id-NhnryO,SHIP_V_1595,851713,Raw Jute,134,1470,196980,Port of London
sdv-id-qcRyTe,SHIP_V_1440,610910,Smartphones,1186,767,909662,Singapore
sdv-id-npfJqj,SHIP_V_1991,854143,Solar Panels,803,1906,1530518,Singapore
sdv-id-EUpAVh,SHIP_V_1496,530310,Raw Jute,544,1577,857888,Singapore
sdv-id-EISgrt,SHIP_V_1104,851713,Smartphones,305,1312,400160,Port of London
sdv-id-UBStqt,SHIP_V_1003,530310,Raw Jute,902,1839,1658778,Dhaka
sdv-id-ruphKh,SHIP_V_1578,610910,Ready-made Garments,233,1086,253038,Dhaka
sdv-id-zAKmjR,SHIP_V_1013,382499,Industrial Chemicals,2894,730,2112620,Singapore
sdv-id-GhqUci,SHIP_V_1305,382499,Industrial Chemicals,901,459,413559,Southampton
sdv-id-gAZnmo,SHIP_V_1328,851713,Ready-made Garments,1560,429,669240,Port of London
sdv-id-ACRIkp,SHIP_V_1594,610910,Raw Jute,796,413,328748,Chittagong
sdv-id-hiUdtI,SHIP_V_1810,854143,Ready-made Garments,389,1774,690086,Dhaka
sdv-id-wqQZwu,SHIP_V_1959,851713,Solar Panels,302,843,254586,Port of London
sdv-id-RHsvsI,SHIP_V_1501,382499,Industrial Chemicals,2179,616,1342264,Chittagong
sdv-id-SkaLVx,SHIP_V_1132,851713,Raw Jute,1232,137,168784,Singapore
sdv-id-coWuKm,SHIP_V_1400,851713,Ready-made Garments,620,1748,1083760,Singapore
sdv-id-KXeRco,SHIP_V_1796,851713,Smartphones,826,596,492296,Dhaka
sdv-id-UQejnw,SHIP_V_1249,851713,Raw Jute,1521,722,1098162,Chittagong
sdv-id-FynkmE,SHIP_V_1865,851713,Smartphones,437,1809,790533,Dhaka
sdv-id-kBhhvY,SHIP_V_1640,851713,Raw Jute,1471,1448,2130008,Southampton
sdv-id-SbABiV,SHIP_V_1140,530310,Industrial Chemicals,872,241,210152,Southampton
sdv-id-aWdLTK,SHIP_V_1357,530310,Industrial Chemicals,720,746,537120,Dhaka
sdv-id-LlBXIn,SHIP_V_1823,851713,Smartphones,403,1745,703235,Port of London
sdv-id-rWGwWT,SHIP_V_1945,382499,Industrial Chemicals,631,1184,747104,Dhaka
sdv-id-CzpBVg,SHIP_V_1223,530310,Smartphones,137,1206,165222,Port of London
sdv-id-DkoVul,SHIP_V_1631,382499,Industrial Chemicals,638,1779,1135002,Southampton
sdv-id-rzNwCt,SHIP_V_1751,382499,Industrial Chemicals,1373,1603,2200919,Chittagong
sdv-id-IQskgm,SHIP_V_1515,854143,Smartphones,570,890,507300,Port of London
sdv-id-NJdeQb,SHIP_V_1351,382499,Industrial Chemicals,493,1140,562020,Port of London
sdv-id-xZSJAS,SHIP_V_1069,610910,Ready-made Garments,477,493,235161,Dhaka
sdv-id-XAlyzT,SHIP_V_1803,610910,Ready-made Garments,460,1886,867560,Southampton
sdv-id-CiQJjK,SHIP_V_1250,851713,Smartphones,1146,819,938574,Dhaka
sdv-id-sZaOmw,SHIP_V_1557,854143,Solar Panels,403,1680,677040,Dhaka
sdv-id-sxKiUQ,SHIP_V_1216,530310,Smartphones,1385,368,509680,Chittagong
sdv-id-iHrFSi,SHIP_V_1562,610910,Ready-made Garments,185,1224,226440,Dhaka
sdv-id-ZYGRxW,SHIP_V_1837,382499,Industrial Chemicals,732,1519,1111908,Southampton
sdv-id-ZcAoIg,SHIP_V_1316,854143,Solar Panels,999,355,354645,Southampton
sdv-id-GyVBqW,SHIP_V_1206,530310,Raw Jute,2003,718,1438154,Chittagong
sdv-id-QrqkrD,SHIP_V_1977,530310,Raw Jute,238,1728,411264,Port of London
sdv-id-oQZrsO,SHIP_V_1763,854143,Solar Panels,272,1391,378352,Singapore
sdv-id-XTJAED,SHIP_V_1150,530310,Raw Jute,1297,703,911791,Dhaka
sdv-id-WPfcfk,SHIP_V_1595,530310,Industrial Chemicals,1443,379,546897,Dhaka
